sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.0002741815499261188,0.00021716497547436944,0.00021716497547436944,0.9708264683477196,"['target', 'Small.business', 'loan_lag3', 'Army', 'real.estate_lag3', 'Agriculture_lag1', 'Food.Service_lag3', 'Army_lag1']"
1,2012-09-01,0.000259023867249943,0.00020030334146080284,0.00020030334146080284,0.9769821071149194,"['target', 'loan_lag3', 'Army', 'Small.business', 'real.estate_lag3', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1']"
2,2012-10-01,0.00033260183227870876,0.000308510002379091,0.000308510002379091,0.9705848655361888,"['target', 'Army', 'loan_lag3', 'Small.business', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1', 'real.estate_lag3']"
3,2012-11-01,0.00021199009191183855,0.00019155348169759895,0.00019155348169759895,0.9921022329808655,"['target', 'Army', 'loan_lag3', 'Small.business', 'Army_lag1', 'Agriculture_lag1', 'Food.Service_lag3', 'real.estate_lag3']"
4,2012-12-01,0.00020162509890591764,0.00019744498266365497,0.00019744498266365497,0.9928249827466774,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Agriculture_lag1', 'Food.Service_lag3', 'travel_lag3', 'Small.business']"
5,2013-01-01,0.0002476750218445662,0.00023993000122954507,0.00023993000122954507,0.9933967485280707,"['target', 'Army_lag1', 'Army', 'real.estate_lag1', 'Food.Service_lag3', 'loan_lag3', 'Small.business', 'whole.sale_lag1']"
6,2013-02-01,0.00020967755976072396,0.0001764682593893578,0.0001764682593893578,0.9947005285048024,"['target', 'loan_lag3', 'Army_lag1', 'Army', 'whole.sale_lag1', 'real.estate', 'Food.Service_lag3', 'Farm...25_lag3']"
7,2013-03-01,0.00018242455927587213,0.0001364108158357965,0.0001364108158357965,0.9964728612715429,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1', 'whole.sale_lag1', 'Farm...25_lag3']"
8,2013-04-01,0.00015435085596050718,0.0001246191731270749,0.0001246191731270749,0.9958170132760321,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Food.Service_lag3', 'whole.sale_lag1', 'Agriculture_lag1', 'Farm...25_lag3']"
9,2013-05-01,0.00013859547809396436,0.00011872421903155559,0.00011872421903155559,0.993846523632172,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'whole.sale_lag1', 'Finance...30_lag1', 'Finance...11_lag1', 'Food.Service_lag3']"
10,2013-06-01,0.0005882114396381351,0.0004971134008240521,0.0004971134008240521,0.9640592071940283,"['target', 'Army', 'loan_lag3', 'Army_lag1', 'whole.sale_lag1', 'Finance...11_lag1', 'Finance...30_lag1', 'real.estate']"
11,2013-07-01,0.0005240749773856347,0.00044347480686538783,0.00044347480686538783,0.9821781914061277,"['target', 'Army', 'loan_lag3', 'Army_lag1', 'whole.sale_lag1', 'real.estate', 'Finance...11_lag1', 'Finance...30_lag1']"
12,2013-08-01,0.0003698074473495059,0.00033084908341526886,0.00033084908341526886,0.9927544365156671,"['target', 'Army', 'real.estate', 'loan_lag3', 'whole.sale_lag1', 'Army_lag1', 'real.estate_lag1', 'Army_lag2']"
13,2013-09-01,0.00023065609776314007,0.00018870569502278897,0.00018870569502278897,0.9954755437288157,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Finance...11_lag1']"
14,2013-10-01,0.00021966953891534199,0.0002048300138430987,0.0002048300138430987,0.9960418467560831,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'rental']"
15,2013-11-01,0.00021926410156051336,0.00018588341681302425,0.00018588341681302425,0.9941236446083934,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Finance...30_lag1']"
16,2013-12-01,0.0003839348456087429,0.00030906098580660925,0.00030906098580660925,0.9920440293435451,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Finance...30_lag1']"
17,2014-01-01,0.00016989240287020732,0.00014387086060940204,0.00014387086060940204,0.9977363615131447,"['target', 'Army', 'Army_lag1', 'real.estate', 'loan_lag3', 'whole.sale_lag1', 'Farm...15_lag3', 'Farm...25_lag3']"
18,2014-02-01,0.000527307467810929,0.0004913746523785592,0.0004913746523785592,0.9864090436704204,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Farm...15_lag3']"
19,2014-03-01,0.00023468661271999015,0.00018131679055085337,0.00018131679055085337,0.9939238532420083,"['target', 'Army', 'Army_lag1', 'real.estate', 'whole.sale_lag1', 'loan_lag3', 'whole.sale', 'Food.Service_lag3']"
20,2014-04-01,0.0003207636980871392,0.0002783226692718189,0.0002783226692718189,0.989644867654138,"['target', 'Army', 'real.estate', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'Food.Service_lag3', 'Farm...15_lag3']"
21,2014-05-01,8.707092442911372e-05,8.073385479200354e-05,8.073385479200354e-05,0.9982442339113577,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'whole.sale', 'Volvo_lag2']"
22,2014-06-01,2.2035309778636494e-05,1.8937035802703082e-05,1.8937035802703082e-05,0.9999033249251988,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Farm...15_lag3']"
23,2014-07-01,0.0001550293186874526,0.0001344599037722157,0.0001344599037722157,0.9926752835833444,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Food.Service_lag3']"
24,2014-08-01,8.289623639599033e-05,6.987803173643386e-05,6.987803173643386e-05,0.998010321417144,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Food.Service_lag3']"
25,2014-09-01,0.00023423407162918953,0.0002245696247670871,0.0002245696247670871,0.9950009858582441,"['target', 'Army_lag1', 'Army', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Small.busines_lag3', 'Farm...15_lag3']"
26,2014-10-01,0.00014716152178479396,0.00012223126453698917,0.00012223126453698917,0.9984012216742448,"['target', 'Army_lag1', 'Army', 'Volvo_lag2', 'Small.busines_lag3', 'real.estate', 'whole.sale_lag1', 'Electricity_lag2']"
27,2014-11-01,0.00021276437661971423,0.00016770715672286498,0.00016770715672286498,0.9962989740625495,"['target', 'Army_lag1', 'Army', 'Volvo_lag2', 'Small.busines_lag3', 'Army_lag3', 'Food.Service_lag3', 'real.estate']"
28,2014-12-01,9.984478184885514e-05,7.71283440256702e-05,7.71283440256702e-05,0.9976529700938968,"['target', 'Army_lag1', 'Army', 'Volvo_lag2', 'Small.busines_lag3', 'Army_lag3', 'Food.Service_lag3', 'budget_lag1']"
29,2015-01-01,5.056891722835993e-05,4.9658834588854106e-05,4.9658834588854106e-05,0.9997097879820593,"['target', 'Army_lag1', 'Army', 'Small.busines_lag3', 'Volvo_lag2', 'Army_lag3', 'health.policy_lag3', 'loan_lag3']"
30,2015-02-01,0.00010194122301517263,9.768135578756434e-05,9.768135578756434e-05,0.9988159435021464,"['target', 'Army_lag1', 'Army', 'Small.busines_lag3', 'health.policy_lag3', 'Army_lag3', 'Mining_lag1', 'Ford...4_lag3']"
