sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,3.0220519482036454e-05,3.0220519482036454e-05,3.0220519482036454e-05,0.9997806802498389,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'budget', 'Farm...25_lag1', 'Farm...15_lag1']"
1,2012-09-01,5.187941053902496e-05,5.187941053902496e-05,5.187941053902496e-05,0.998673194495282,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'Farm...25_lag1', 'Farm...15_lag1', 'Army_lag3']"
2,2012-10-01,5.9874001405512333e-05,5.9874001405512333e-05,5.9874001405512333e-05,0.9986929126903811,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
3,2012-11-01,7.189185071435154e-05,7.189185071435154e-05,7.189185071435154e-05,0.9995866553485723,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
4,2012-12-01,0.0002499891565806134,0.0002499891565806134,0.0002499891565806134,0.967029055110782,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Small.business_lag2', 'unemployment_lag1', 'Farm...25_lag1']"
5,2013-01-01,0.00015127027408035933,0.00015127027408035933,0.00015127027408035933,0.9981589441381632,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Agriculture_lag3', 'Small.business_lag2', 'Army_lag3', 'Farm...15_lag1']"
6,2013-02-01,5.9455649040656214e-05,5.9455649040656214e-05,5.9455649040656214e-05,0.9996298606401219,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Agriculture_lag3', 'Small.business_lag2', 'whole.sale_lag3']"
7,2013-03-01,0.00012980042658580857,0.00012980042658580857,0.00012980042658580857,0.9976571633336333,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'Finance...30_lag3', 'Finance...11_lag3']"
8,2013-04-01,0.000263942803518986,0.000263942803518986,0.000263942803518986,0.9420341000616504,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'whole.sale_lag3', 'Finance...30_lag3']"
9,2013-05-01,0.000263942803518986,0.000263942803518986,0.000263942803518986,0.9420341000616504,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'unemployment_lag1']"
10,2013-06-01,0.000263942803518986,0.000263942803518986,0.000263942803518986,0.9766359710750461,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'real.estate_lag2']"
11,2013-07-01,0.00024850556961488347,0.00024850556961488347,0.00024850556961488347,0.9964579086582285,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'Agriculture_lag3']"
12,2013-08-01,9.815863924826293e-05,9.815863924826293e-05,9.815863924826293e-05,0.9992051501097864,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
13,2013-09-01,0.00023778918162707576,0.00023778918162707576,0.00023778918162707576,0.9860255171085663,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
14,2013-10-01,0.0001941230373153583,0.0001941230373153583,0.0001941230373153583,0.9980373635874054,"['target', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag2', 'Army_lag3', 'whole.sale_lag3', 'real.estate', 'unemployment_lag1']"
15,2013-11-01,0.00010584909101348221,0.00010584909101348221,0.00010584909101348221,0.9420341000616504,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'budget_lag1']"
16,2013-12-01,0.000263942803518986,0.000263942803518986,0.000263942803518986,0.9890172540852341,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'unemployment_lag1', 'real.estate']"
17,2014-01-01,5.896731020656838e-05,5.896731020656838e-05,5.896731020656838e-05,0.9988004619279195,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
18,2014-02-01,0.00021796172621588433,0.00021796172621588433,0.00021796172621588433,0.9979743981,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
19,2014-03-01,0.00010292476239995361,0.00010292476239995361,0.00010292476239995361,0.9420341000616504,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
20,2014-04-01,0.00010592922365379454,0.00010592922365379454,0.00010592922365379454,0.9980431154026103,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
21,2014-05-01,0.00020059161977190477,0.00020059161977190477,0.00020059161977190477,0.9941691822372062,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
22,2014-06-01,0.00016918913009803882,0.00016918913009803882,0.00016918913009803882,0.9904369644210131,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'real.estate_lag1', 'budget_lag1', 'whole.sale_lag3', 'real.estate_lag2']"
23,2014-07-01,3.0220519482036454e-05,3.0220519482036454e-05,3.0220519482036454e-05,0.9996320367831437,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'whole.sale_lag3', 'budget_lag1', 'real.estate_lag2']"
24,2014-08-01,0.0001501583675838122,0.0001501583675838122,0.0001501583675838122,0.9970359582503522,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
25,2014-09-01,0.0001564063366643713,0.0001564063366643713,0.0001564063366643713,0.9990223217766079,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
26,2014-10-01,9.772375503567122e-05,9.772375503567122e-05,9.772375503567122e-05,0.9988624243310582,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'budget_lag1']"
27,2014-11-01,0.00011524782103299253,0.00011524782103299253,0.00011524782103299253,0.9963860742240795,"['target', 'Army_lag3', 'Army_lag2', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'unemployment_lag1']"
28,2014-12-01,0.000242099822276388,0.000242099822276388,0.000242099822276388,0.9420341000616504,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Small.business', 'budget_lag1']"
29,2015-01-01,0.00011419523753571212,0.00011419523753571212,0.00011419523753571212,0.9994546439979022,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Export_lag1', 'Small.business']"
30,2015-02-01,7.323729675865484e-05,7.323729675865484e-05,7.323729675865484e-05,0.9984996579559772,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
31,2015-03-01,0.0002290645491257687,0.0002290645491257687,0.0002290645491257687,0.9892714846860082,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
32,2015-04-01,5.191875230888888e-05,5.191875230888888e-05,5.191875230888888e-05,0.9993965678582798,"['target', 'Army_lag3', 'Small.business_lag1', 'unemployment_lag1', 'Army_lag2', 'Audi_lag1', 'real.estate_lag1', 'Mining_lag3']"
33,2015-05-01,0.00022420738856051593,0.00022420738856051593,0.00022420738856051593,0.9950180383978454,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'Ford...28', 'Ford...4', 'Ford...38', 'real.estate_lag1']"
34,2015-06-01,3.0220519482036454e-05,3.0220519482036454e-05,3.0220519482036454e-05,0.9997806802498389,"['target', 'Army_lag3', 'Small.business_lag1', 'Ford...38', 'Ford...4', 'Ford...28', 'Army_lag2', 'unemployment_lag1']"
35,2015-07-01,4.094103034919675e-05,4.094103034919675e-05,4.094103034919675e-05,0.9997680505656082,"['target', 'Small.business_lag1', 'Army_lag3', 'Army_lag2', 'Ford...38', 'Ford...28', 'Ford...4', 'real.estate_lag1']"
36,2015-08-01,5.533178411799627e-05,5.533178411799627e-05,5.533178411799627e-05,0.9967801517210731,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
37,2015-09-01,0.000263942803518986,0.000263942803518986,0.000263942803518986,0.9829559499897639,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
38,2015-10-01,0.0001673570189267146,0.0001673570189267146,0.0001673570189267146,0.9420341000616504,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Audi_lag1', 'real.estate_lag1']"
