sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00036541863200168173,0.00031692139298018817,0.00031692139298018817,0.9429912953655811,"['target', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1', 'N_DUR_INV_RAT_new_lag2', 'CPI_SHEL_CAN_lag2', 'Exp_BP_new_lag3', 'MANU_TOT_INV_new_lag2']"
1,2012-09-01,0.0001902644365126395,0.00015356403408749674,0.00015356403408749674,0.984340678826761,"['target', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1', 'N_DUR_INV_RAT_new_lag2', 'CPI_SHEL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_3.5.Bank_rate_lag2']"
2,2012-10-01,0.00024631065089794315,0.00020712132547342534,0.00020712132547342534,0.9691725155435497,"['target', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'N_DUR_INV_RAT_new_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'N_DUR_INV_RAT_new_lag2']"
3,2012-11-01,0.0002642334440856879,0.00020319072570506308,0.00020319072570506308,0.9829569418089996,"['target', 'IPPI_METAL_CAN_lag2', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'IMP_CONS_BP_new_lag3', 'CPI_SHEL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag2', 'N_DUR_INV_RAT_new_lag1']"
4,2012-12-01,0.00017997188800674026,0.00015704829434769966,0.00015704829434769966,0.992499532897913,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'IMP_CONS_BP_new_lag3', 'CPI_SHEL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1']"
5,2013-01-01,0.00012720479525410046,0.0001071814574717177,0.0001071814574717177,0.9974860518083979,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'N_DUR_INV_RAT_new_lag1', 'CPI_SHEL_CAN_lag2']"
6,2013-02-01,0.00035085865130094076,0.00030205851664671343,0.00030205851664671343,0.9830137714309812,"['target', 'IPPI_METAL_CAN_lag2', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'CPI_SHEL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1']"
7,2013-03-01,0.0003302498622074194,0.0003144209187039876,0.0003144209187039876,0.9873453589831948,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IMP_CONS_BP_new_lag3', 'N_DUR_INV_RAT_new_lag1', 'N_DUR_INV_RAT_new_lag2', 'Exp_BP_new_lag3']"
8,2013-04-01,0.0001483162566046504,0.00013669872371932707,0.00013669872371932707,0.9972996561879396,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IMP_CONS_BP_new_lag3', 'Exp_BP_new_lag3', 'N_DUR_INV_RAT_new_lag1', 'IPPI_METAL_CAN_lag3']"
9,2013-05-01,0.00015717529939683278,0.00015241082385309426,0.00015241082385309426,0.9960485602583138,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'Exp_BP_new_lag3', 'DUR_TOT_INV_new']"
10,2013-06-01,0.00023254562813048262,0.0001801057939284252,0.0001801057939284252,0.9946672430985093,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate']"
11,2013-07-01,0.0002499735521951417,0.0002208228308739792,0.0002208228308739792,0.9942410894704704,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate']"
12,2013-08-01,0.00046887518767895565,0.00040104106535251375,0.00040104106535251375,0.9805838552568283,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate']"
13,2013-09-01,0.0004195372224361323,0.00035675339003854917,0.00035675339003854917,0.983666851917339,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'CPI_SHEL_CAN_lag2', 'G_AVG_5.10.Bank_rate']"
14,2013-10-01,0.0002809927482344222,0.00026488538453255887,0.00026488538453255887,0.994379082344817,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate']"
15,2013-11-01,0.0003448349682291182,0.0003050503737832957,0.0003050503737832957,0.9914041297191808,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag3', 'IPPI_METAL_CAN_lag1', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate']"
16,2013-12-01,0.0004309721339958323,0.00037369714859414636,0.00037369714859414636,0.9882013923336177,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'G_AVG_3.5.Bank_rate', 'G_AVG_5.10.Bank_rate']"
17,2014-01-01,0.0005637963287666884,0.00039576683206461613,0.00039576683206461613,0.9753669355463915,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'G_AVG_3.5.Bank_rate', 'G_AVG_5.10.Bank_rate']"
18,2014-02-01,0.0005865343266175463,0.00045338518137715494,0.00045338518137715494,0.9762608071059778,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag3', 'G_AVG_3.5.Bank_rate', 'G_AVG_5.10.Bank_rate']"
19,2014-03-01,0.000590257339320506,0.0004339607379658748,0.0004339607379658748,0.9743700225396271,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag3', 'G_AVG_3.5.Bank_rate', 'TBILL_6M.Bank_rate_lag3']"
20,2014-04-01,0.00046369954370616595,0.00040551222396443013,0.00040551222396443013,0.9807587132225729,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'G_AVG_3.5.Bank_rate', 'G_AVG_5.10.Bank_rate']"
21,2014-05-01,0.0006229306737928952,0.00043524489578688905,0.00043524489578688905,0.9681498562073801,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'G_AVG_3.5.Bank_rate', 'G_AVG_5.10.Bank_rate']"
22,2014-06-01,0.000368940093065718,0.0002744071393806994,0.0002744071393806994,0.9795742523316681,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'G_AVG_3.5.Bank_rate', 'G_AVG_5.10.Bank_rate', 'G_AVG_5.10.Bank_rate_lag2']"
23,2014-07-01,0.00036662115057432707,0.00027243025749089015,0.00027243025749089015,0.978766512830642,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate', 'IPPI_MOTOR_CAN_lag3']"
24,2014-08-01,0.00022564675787507474,0.00019101267984433944,0.00019101267984433944,0.9863563948086752,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate', 'IPPI_METAL_CAN_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'DUR_INV_RAT_new_lag3']"
25,2014-09-01,0.00035732697295660064,0.0002651630599605388,0.0002651630599605388,0.9844227803919277,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'G_AVG_5.10.Bank_rate', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'G_AVG_3.5.Bank_rate', 'DUR_INV_RAT_new_lag3']"
26,2014-10-01,0.0002480160286531974,0.00018864315708660254,0.00018864315708660254,0.9930184444097229,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'DUR_INV_RAT_new_lag3']"
27,2014-11-01,0.00041082294004129164,0.00031823890995356566,0.00031823890995356566,0.9794116906545636,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'DUR_INV_RAT_new_lag3', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate', 'IPPI_METAL_CAN_lag1', 'G_AVG_5.10.Bank_rate_lag2']"
28,2014-12-01,0.0001846299034280984,0.00014375739716612033,0.00014375739716612033,0.9956025512791139,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'DUR_INV_RAT_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'G_AVG_5.10.Bank_rate', 'G_AVG_3.5.Bank_rate']"
29,2015-01-01,0.00047705978404070644,0.00036992024117158675,0.00036992024117158675,0.9799983573789102,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'DUR_INV_RAT_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag3', 'DUR_INV_RAT_new_lag1']"
30,2015-02-01,0.0003933499763177595,0.000266712958593725,0.000266712958593725,0.9855469175572035,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'DUR_INV_RAT_new_lag3', 'G_AVG_5.10.Bank_rate', 'DUR_INV_RAT_new_lag1', 'G_AVG_3.5.Bank_rate']"
31,2015-03-01,0.0007085422974670268,0.0004319368479019305,0.0004319368479019305,0.9283898454100319,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'DUR_INV_RAT_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag3', 'DUR_INV_RAT_new_lag1']"
32,2015-04-01,0.00032138835671749303,0.00023367123649793,0.00023367123649793,0.9825262444000511,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'G_AVG_5.10.Bank_rate', 'MANU_TOT_INV_new_lag2', 'DUR_INV_RAT_new_lag3', 'G_AVG_3.5.Bank_rate']"
33,2015-05-01,0.00038133176747611467,0.00032534190913862104,0.00032534190913862104,0.9794766758345855,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'DUR_INV_RAT_new_lag3', 'CPI_SHEL_CAN_lag2', 'DUR_INV_RAT_new_lag1']"
34,2015-06-01,0.0002956213335292943,0.0002660326815063443,0.0002660326815063443,0.9897533534283303,"['target', 'IPPI_METAL_CAN_lag2', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'DUR_INV_RAT_new_lag3', 'TBILL_6M.Bank_rate', 'IMP_CONS_BP_new_lag3', 'CPI_SHEL_CAN_lag2']"
