sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00012317591006031083,0.00011809307277447344,0.00011809307277447344,0.9941120500234495,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'EOIL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
1,2012-09-01,0.00035658712104423817,0.0003290337608309519,0.0003290337608309519,0.9563768215632301,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
2,2012-10-01,0.0008016250435328655,0.0006797898517059178,0.0006797898517059178,0.8291306701058595,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI', 'WTISPLC']"
3,2012-11-01,0.0006460436156237775,0.0004878589106381474,0.0004878589106381474,0.9266505486272263,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'WTISPLC', 'G_AVG_5.10.Bank_rate_lag3']"
4,2012-12-01,5.7793782338228895e-05,5.652015651583793e-05,5.652015651583793e-05,0.9994104834542173,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'EX_METAL_BP_new']"
5,2013-01-01,0.00029271517163938085,0.00025417496891740147,0.00025417496891740147,0.990776752081084,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'EX_METAL_BP_new', 'Exp_BP_new']"
6,2013-02-01,0.0001190719043391056,8.7339016810894e-05,8.7339016810894e-05,0.9982909795789239,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'EOIL_BP_new', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
7,2013-03-01,0.00013074928154036588,0.00010982559121746795,0.00010982559121746795,0.998188098634056,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'IPPI_METAL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
8,2013-04-01,0.00011866155634562218,0.00010664656060857492,0.00010664656060857492,0.9975277722205846,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag1']"
9,2013-05-01,0.00026499599460698056,0.00019320132800814752,0.00019320132800814752,0.9775042211202959,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'EX_METAL_BP_new', 'IPPI_METAL_CAN_lag2', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
10,2013-06-01,0.00036642771676566554,0.00035094411709709787,0.00035094411709709787,0.9860524684391458,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'TSX_HI_lag1', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'IPPI_METAL_CAN_lag2']"
11,2013-07-01,0.00012187595549508524,0.00012078036332054106,0.00012078036332054106,0.9990361687712893,"['target', 'EX_ENER_BP_new', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'EOIL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
12,2013-08-01,0.00011258876389191816,0.00010598720368054388,0.00010598720368054388,0.9993283995750465,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EX_METAL_BP_new', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'CAN_SEC_NETFLOW', 'TBILL_6M.Bank_rate_lag1']"
13,2013-09-01,0.0005012400349232455,0.0004196595147932085,0.0004196595147932085,0.9786337641740853,"['target', 'G_AVG_3.5.Bank_rate_lag2', 'EX_ENER_BP_new', 'EX_METAL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_3.5.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
14,2013-10-01,0.0002367624643753819,0.00021074232174369913,0.00021074232174369913,0.9954018976834055,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EX_METAL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_3.5.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
15,2013-11-01,0.0002497610554492446,0.00024174490031584752,0.00024174490031584752,0.992375305846286,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'EX_METAL_BP_new']"
16,2013-12-01,0.0005650834728718817,0.00036463795020350503,0.00036463795020350503,0.98276531605507,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'UNEMP_DURA_1.4_CAN']"
17,2014-01-01,0.000338781395562052,0.0002986243789730322,0.0002986243789730322,0.9909988446534316,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'UNEMP_DURA_1.4_CAN', 'G_AVG_5.10.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3']"
18,2014-02-01,0.00047579368782619413,0.00034847163967509945,0.00034847163967509945,0.9889347934436616,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'UNEMP_DURA_1.4_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
19,2014-03-01,0.00010126838675102317,8.202063073036239e-05,8.202063073036239e-05,0.9988686436872779,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'UNEMP_DURA_1.4_CAN', 'TSX_HI_lag1', 'G_AVG_3.5.Bank_rate_lag3']"
20,2014-04-01,0.00016918111413374967,0.0001350869573638393,0.0001350869573638393,0.9971193599694136,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
21,2014-05-01,0.0002552980905166854,0.00021648788764541357,0.00021648788764541357,0.9849056130524368,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'TSX_HI_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
22,2014-06-01,0.00025338063472989423,0.0002281976572001966,0.0002281976572001966,0.9872172870754178,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'EX_METAL_BP_new', 'IPPI_MACH_CAN_lag1', 'G_AVG_3.5.Bank_rate_lag2']"
23,2014-07-01,0.00024321972846235189,0.0002357206180940204,0.0002357206180940204,0.9819714525639868,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'IPPI_MACH_CAN_lag1']"
24,2014-08-01,0.000326426438523452,0.00027824040029813396,0.00027824040029813396,0.9691479553179329,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'IPPI_MACH_CAN_lag1', 'EX_METAL_BP_new', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2']"
25,2014-09-01,0.00011783261175435755,0.00010659349798529416,0.00010659349798529416,0.998734928016886,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'IPPI_MACH_CAN_lag1', 'IPPI_ENER_CAN']"
26,2014-10-01,0.00015661097298667236,0.0001375489641380385,0.0001375489641380385,0.9981893100666365,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TBILL_6M.Bank_rate_lag1', 'IPPI_MACH_CAN_lag1', 'TSX_LO_lag1', 'EX_METAL_BP_new', 'IPPI_ENER_CAN']"
27,2014-11-01,0.0002039311871997947,0.00015352362646091098,0.00015352362646091098,0.9965999007598069,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'IPPI_MACH_CAN_lag1', 'EX_TRANSP_BP_new_lag2', 'CAN_EQTY_NETFLOW_lag1']"
28,2014-12-01,0.00018159132832986776,0.00016765055288327183,0.00016765055288327183,0.9922364904857789,"['target', 'EX_ENER_BP_new', 'TBILL_6M.Bank_rate_lag1', 'TSX_HI_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'CAN_EQTY_NETFLOW_lag1', 'IPPI_ENER_CAN', 'TBILL_6M.Bank_rate']"
29,2015-01-01,0.00030972975983385395,0.00025910287026937895,0.00025910287026937895,0.9891128563023436,"['target', 'EX_ENER_BP_new', 'CAN_EQTY_NETFLOW_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI_lag1', 'EX_METAL_BP_new', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag2']"
30,2015-02-01,0.0003417548479362529,0.00028471890400852553,0.00028471890400852553,0.9866923272035627,"['target', 'EX_ENER_BP_new', 'CAN_EQTY_NETFLOW_lag1', 'EX_METAL_BP_new', 'CAN_US_SEC_NETFLOW_lag1', 'TSX_HI_lag1', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate_lag1']"
31,2015-03-01,0.00041104253252361925,0.0003893124708356395,0.0003893124708356395,0.9834279995210282,"['target', 'EX_ENER_BP_new', 'CAN_EQTY_NETFLOW_lag1', 'CAN_US_SEC_NETFLOW_lag1', 'IPPI_MACH_CAN_lag1', 'EX_TRANSP_BP_new_lag2', 'TBILL_6M.Bank_rate_lag1', 'IPPI_MACH_CAN_lag2']"
32,2015-04-01,0.000399918043787884,0.00029126326757117636,0.00029126326757117636,0.9604250167807313,"['target', 'EX_ENER_BP_new', 'CAN_US_SEC_NETFLOW_lag1', 'CAN_EQTY_NETFLOW_lag1', 'IPPI_MACH_CAN_lag1', 'IPPI_MACH_CAN_lag2', 'TBILL_6M.Bank_rate_lag1', 'TSX_HI_lag1']"
