sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.0002849894213493898,0.00015098617748715066,0.00015098617748715066,0.983181711842506,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'IMP_CONS_BP_new', 'G_AVG_5.10.Bank_rate_lag3']"
1,2012-09-01,0.0009302303433156942,0.0005036700121472596,0.0005036700121472596,0.7621943067998738,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IMP_CONS_BP_new']"
2,2012-10-01,0.00037610646272775777,0.0002452376883254287,0.0002452376883254287,0.9590883936507281,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'IMP_CONS_BP_new', 'TBILL_6M.Bank_rate_lag3', 'DUR_N_ORD_new_lag1']"
3,2012-11-01,0.0004187356009168399,0.00033102590600057793,0.00033102590600057793,0.9507665177915838,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_CAN_lag3', 'MANU_N_ORD_new_lag1']"
4,2012-12-01,0.0004193979804188448,0.0003772794854477697,0.0003772794854477697,0.9491332031748183,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'N_DUR_INV_RAT_new']"
5,2013-01-01,0.0003175601422167394,0.00024822986800874017,0.00024822986800874017,0.9774085779078178,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'IPPI_CAN_lag3', 'G_AVG_1.3.Bank_rate_lag1']"
6,2013-02-01,0.00024909203248919733,0.00020315670003920615,0.00020315670003920615,0.9892573543064882,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3']"
7,2013-03-01,0.0003811852076869843,0.0002740528790281534,0.0002740528790281534,0.9784526672068236,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'IMP_CONS_BP_new', 'CLAIMS_CAN_lag3']"
8,2013-04-01,0.0002660959920453356,0.0001850389414841405,0.0001850389414841405,0.9893039224684194,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'IMP_CONS_BP_new', 'MANU_N_ORD_new_lag1', 'IPPI_CAN', 'TBILL_6M.Bank_rate_lag3']"
9,2013-05-01,0.00017532354775912488,0.00015217771204610825,0.00015217771204610825,0.9952682827249204,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'IMP_CONS_BP_new', 'MANU_N_ORD_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'EMP_CONS_CAN_lag1']"
10,2013-06-01,0.0005456031996661038,0.0003696243732132594,0.0003696243732132594,0.9677808651066784,"['target', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'G_AVG_1.3.Bank_rate_lag3', 'CLAIMS_CAN_lag3', 'Exp_BP_new', 'IPPI_CAN', 'IPPI_CAN_lag3']"
11,2013-07-01,0.00041482451687176636,0.0003389183793967669,0.0003389183793967669,0.9847564520104378,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'Exp_BP_new', 'EX_ENER_BP_new_lag1', 'CLAIMS_CAN_lag3', 'IPPI_CAN_lag3']"
12,2013-08-01,0.0004732238791410964,0.00032933154834943463,0.00032933154834943463,0.9796429488658103,"['target', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'G_AVG_1.3.Bank_rate_lag3', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'EX_ENER_BP_new_lag1']"
13,2013-09-01,0.0004929680971297847,0.00034569009970592007,0.00034569009970592007,0.9785440597388507,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
