sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00014490249818626896,9.866034303534895e-05,9.866034303534895e-05,0.9910357998647077,"['target', 'real.estate', 'GDP', 'travel', 'loan', 'Food.Service', 'loan_lag2', 'Mining']"
1,2012-09-01,0.00016784576002990616,0.0001225703618962133,0.0001225703618962133,0.9878135154271521,"['target', 'travel', 'GDP', 'Food.Service', 'real.estate', 'loan', 'Electricity_lag3', 'loan_lag2']"
2,2012-10-01,0.00015119234333037723,0.00011169135950744418,0.00011169135950744418,0.9883846767618972,"['target', 'Food.Service', 'GDP', 'loan', 'Mining', 'real.estate', 'unemployment_lag1', 'Audi_lag1']"
3,2012-11-01,0.00014218092657738255,0.00012373382388888827,0.00012373382388888827,0.9950653695293391,"['target', 'Food.Service', 'GDP', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'Electricity_lag3', 'loan']"
4,2012-12-01,0.00015241430536735073,0.00012891957475072836,0.00012891957475072836,0.9946206422530905,"['target', 'Food.Service', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'GDP', 'Electricity_lag3', 'loan']"
5,2013-01-01,0.000169357278282048,0.00014004193396795187,0.00014004193396795187,0.9955438778411418,"['target', 'Food.Service', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'Electricity_lag3', 'loan', 'GDP']"
6,2013-02-01,0.0001274396192885162,0.00011238153361199696,0.00011238153361199696,0.9977590017610247,"['target', 'Food.Service', 'loan', 'Ford...4_lag1', 'Ford...28_lag1', 'Ford...38_lag1', 'GDP', 'loan_lag2']"
7,2013-03-01,0.00011510027525283396,9.54427923173934e-05,9.54427923173934e-05,0.9984628464089866,"['target', 'Ford...4_lag1', 'Ford...28_lag1', 'Ford...38_lag1', 'loan', 'GDP', 'loan_lag2', 'Food.Service']"
8,2013-04-01,0.00013043601719018864,9.511790496761603e-05,9.511790496761603e-05,0.9979114897545537,"['target', 'loan', 'Ford...28_lag1', 'Ford...4_lag1', 'Ford...38_lag1', 'GDP', 'loan_lag2', 'Food.Service']"
9,2013-05-01,0.0001185469806466785,9.156390678461024e-05,9.156390678461024e-05,0.9977521477334951,"['target', 'loan', 'Food.Service_lag1', 'rental_lag3', 'GDP', 'loan_lag2', 'Electricity_lag3', 'Ford...28_lag1']"
10,2013-06-01,7.005686070625192e-05,5.15874501581133e-05,5.15874501581133e-05,0.9995160095716485,"['target', 'loan', 'Electricity_lag3', 'Food.Service_lag1', 'GDP', 'rental_lag3', 'loan_lag2', 'Food.Service']"
11,2013-07-01,8.589879920690933e-05,6.852701525409588e-05,6.852701525409588e-05,0.9993199726286244,"['target', 'loan', 'Electricity_lag3', 'Food.Service_lag1', 'GDP', 'rental_lag3', 'loan_lag2', 'Food.Service']"
12,2013-08-01,8.20401615882759e-05,6.500938048160426e-05,6.500938048160426e-05,0.9994055689137782,"['target', 'loan', 'Electricity_lag3', 'Food.Service_lag1', 'GDP', 'loan_lag2', 'rental_lag3', 'Audi_lag2']"
13,2013-09-01,0.0003651823036630425,0.00018144344664058646,0.00018144344664058646,0.9876249104527971,"['target', 'loan', 'Food.Service_lag1', 'Electricity_lag3', 'GDP', 'loan_lag2', 'rental_lag3', 'travel_lag2']"
14,2013-10-01,0.00017417464273870588,0.0001232650867288759,0.0001232650867288759,0.997840332683041,"['target', 'loan', 'Food.Service_lag1', 'GDP', 'travel_lag2', 'loan_lag2', 'rental_lag3', 'Electricity_lag3']"
15,2013-11-01,0.0001400830351491894,0.00011696393064777751,0.00011696393064777751,0.9985814706034074,"['target', 'loan', 'travel_lag2', 'Food.Service_lag1', 'GDP', 'Electricity_lag3', 'loan_lag2', 'Services_lag1']"
16,2013-12-01,0.0003130088510784686,0.00016576811276684705,0.00016576811276684705,0.9937763434773431,"['target', 'loan', 'travel_lag2', 'GDP', 'loan_lag2', 'Electricity_lag3', 'Food.Service_lag1', 'Services_lag3']"
17,2014-01-01,0.0004623267364265708,0.0002084068283583903,0.0002084068283583903,0.9834357424317155,"['target', 'loan', 'travel_lag2', 'GDP', 'Electricity_lag3', 'loan_lag2', 'Farm...25_lag1', 'Farm...15_lag1']"
18,2014-02-01,0.0004395142029764766,0.00021111531052511864,0.00021111531052511864,0.9866701608421604,"['target', 'loan', 'travel_lag2', 'GDP', 'Electricity_lag3', 'loan_lag2', 'consumption_lag1', 'Consumption_lag1']"
19,2014-03-01,0.00042021393818065275,0.0002132408187462088,0.0002132408187462088,0.9870100840918262,"['target', 'loan', 'travel_lag2', 'GDP', 'Food.Service_lag1', 'Farm...25', 'Farm...15', 'health.policy_lag2']"
20,2014-04-01,0.0004171961560572111,0.0001908002845471485,0.0001908002845471485,0.9844245224204463,"['target', 'loan', 'travel_lag2', 'GDP', 'Farm...25', 'Farm...15', 'Electricity_lag3', 'Food.Service_lag1']"
21,2014-05-01,0.000401413347405681,0.00020443526762983422,0.00020443526762983422,0.9867743939415126,"['target', 'loan', 'travel_lag2', 'GDP', 'Farm...15', 'Farm...25', 'Food.Service_lag1', 'Electricity_lag3']"
22,2014-06-01,8.168540442663968e-05,5.4591328738415355e-05,5.4591328738415355e-05,0.9989987208247824,"['target', 'travel_lag2', 'Farm...25', 'Farm...15', 'GDP', 'Mining_lag3', 'loan_lag2', 'Small.busines_lag2']"
23,2014-07-01,0.00013375455125124114,9.2465196328344e-05,9.2465196328344e-05,0.9971737965039934,"['target', 'travel_lag2', 'Farm...25', 'Farm...15', 'GDP', 'Small.busines_lag2', 'health.policy_lag2', 'loan_lag2']"
24,2014-08-01,0.0001116521555186294,7.697147607312929e-05,7.697147607312929e-05,0.9966595484932761,"['target', 'GDP', 'travel_lag2', 'insurance_lag3', 'health.policy_lag2', 'Construction...26_lag1', 'Construction...14_lag1', 'budget_lag2']"
25,2014-09-01,0.00016093948695403002,0.00010356233042754181,0.00010356233042754181,0.9968400255794783,"['target', 'travel_lag2', 'GDP', 'insurance_lag3', 'Construction...26_lag1', 'Construction...14_lag1', 'Small.busines_lag2', 'Property.management']"
26,2014-10-01,0.00013558685531702493,8.578028828748749e-05,8.578028828748749e-05,0.9979134544082652,"['target', 'travel_lag2', 'GDP', 'insurance_lag3', 'Construction...26_lag1', 'Construction...14_lag1', 'Small.busines', 'Small.busines_lag2']"
27,2014-11-01,0.00011712315868715204,8.231910279598778e-05,8.231910279598778e-05,0.9983266111721859,"['target', 'GDP', 'travel_lag2', 'loan', 'insurance_lag3', 'Construction...26_lag1', 'Construction...14_lag1', 'Electricity_lag3']"
28,2014-12-01,0.00020509937641359963,0.00015548163308207915,0.00015548163308207915,0.9945734303866223,"['target', 'insurance_lag3', 'travel_lag2', 'Electricity_lag3', 'GDP', 'Construction...26_lag1', 'Construction...14_lag1', 'Small.busines']"
29,2015-01-01,0.00024099841934384426,0.000203022614050948,0.000203022614050948,0.9948955560769024,"['target', 'insurance_lag3', 'health.policy', 'travel_lag2', 'GDP', 'Ford...38_lag1', 'Ford...28_lag1', 'Ford...4_lag1']"
30,2015-02-01,0.00022018616043317644,0.00016279693666458898,0.00016279693666458898,0.9954712091960451,"['target', 'insurance_lag3', 'health.policy', 'travel_lag2', 'Ford...38_lag1', 'Ford...28_lag1', 'Ford...4_lag1', 'GDP']"
31,2015-03-01,0.00023958216326748028,0.00014135736568870986,0.00014135736568870986,0.9918124868063029,"['target', 'insurance_lag3', 'travel_lag2', 'travel_lag1', 'health.policy', 'Ford...38_lag1', 'Ford...28_lag1', 'Ford...4_lag1']"
32,2015-04-01,0.00012218274871357717,9.177267946634017e-05,9.177267946634017e-05,0.9974745093720572,"['target', 'insurance_lag3', 'health.policy', 'travel_lag1', 'travel_lag2', 'GDP', 'loan', 'Ford...38_lag1']"
33,2015-05-01,0.00048022736994965637,0.00025504464391128655,0.00025504464391128655,0.9674511574837891,"['target', 'insurance_lag3', 'travel_lag2', 'health.policy', 'Small.busines', 'travel_lag1', 'GDP', 'unemployment_lag3']"
34,2015-06-01,0.00019713034287988925,0.00014091202543379793,0.00014091202543379793,0.9954436490508399,"['target', 'travel_lag2', 'Small.busines', 'unemployment_lag3', 'travel_lag1', 'health.policy', 'insurance_lag3', 'loan']"
35,2015-07-01,0.00016445841625971875,0.00010843897821788765,0.00010843897821788765,0.9955222420763302,"['target', 'travel_lag2', 'Small.busines', 'health.policy', 'unemployment_lag3', 'travel_lag1', 'loan', 'insurance_lag3']"
36,2015-08-01,0.0002249014821058871,0.0001733530201627915,0.0001733530201627915,0.9910596646774342,"['target', 'travel_lag1', 'insurance_lag3', 'Small.busines', 'unemployment_lag3', 'travel_lag2', 'health.policy', 'loan']"
37,2015-09-01,0.00022544293089446228,0.00017970061022533029,0.00017970061022533029,0.9951672364309971,"['target', 'travel_lag1', 'insurance_lag3', 'Small.busines', 'unemployment_lag3', 'travel_lag2', 'health.policy', 'Army']"
38,2015-10-01,0.00028221705865231507,0.00023810674655350565,0.00023810674655350565,0.9917606858729406,"['target', 'travel_lag1', 'unemployment_lag3', 'travel_lag2', 'loan', 'health.policy', 'Small.busines', 'insurance_lag3']"
39,2015-11-01,0.00020954606012443824,0.000154434337520071,0.000154434337520071,0.9945908698268291,"['target', 'travel_lag1', 'unemployment_lag3', 'health.policy', 'travel_lag2', 'Small.busines', 'loan', 'Construction...26_lag1']"
40,2015-12-01,0.00021066059218748402,0.00017921574389614633,0.00017921574389614633,0.9938224407249944,"['target', 'unemployment_lag3', 'health.policy', 'Volvo', 'Agriculture_lag2', 'travel_lag1', 'insurance_lag3', 'Small.business_lag2']"
41,2016-01-01,0.00013040004024162058,0.00010590187536775902,0.00010590187536775902,0.9980471397552048,"['target', 'unemployment_lag3', 'travel_lag1', 'Volvo', 'Agriculture_lag2', 'Mining_lag2', 'health.policy', 'Ford...38']"
42,2016-02-01,0.0003839298549337426,0.00025149960183785,0.00025149960183785,0.9866469357191576,"['target', 'travel_lag1', 'Agriculture_lag2', 'Ford...38', 'Ford...28', 'Ford...4', 'Small.busines_lag2', 'unemployment_lag3']"
43,2016-03-01,0.0003506442893414091,0.0002058297537180008,0.0002058297537180008,0.9865746917000929,"['target', 'travel_lag1', 'unemployment_lag3', 'Mining_lag2', 'Volvo', 'Agriculture_lag2', 'Ford...4', 'Ford...38']"
44,2016-04-01,0.00024717052360184163,0.0001629262345358521,0.0001629262345358521,0.9932317570834851,"['target', 'travel_lag1', 'unemployment_lag3', 'loan', 'Mining_lag2', 'health.policy', 'Volvo', 'Agriculture_lag2']"
45,2016-05-01,0.00017554417979652492,0.0001460872378061442,0.0001460872378061442,0.9986270985689778,"['target', 'travel_lag1', 'unemployment_lag3', 'loan', 'Agriculture_lag2', 'Construction...26_lag1', 'Construction...14_lag1', 'Volvo']"
