sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00022744757052779664,0.00022744757052779664,0.00022744757052779664,0.9924507663326726,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'budget', 'Farm...25_lag1', 'Farm...15_lag1']"
1,2012-09-01,0.0001088459207775344,0.0001088459207775344,0.0001088459207775344,0.9941596145002496,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'Farm...25_lag1', 'Farm...15_lag1', 'Army_lag3']"
2,2012-10-01,3.596341264662224e-05,3.596341264662224e-05,3.596341264662224e-05,0.9995284260308297,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
3,2012-11-01,0.0003146858729648379,0.0003146858729648379,0.0003146858729648379,0.9920803226568373,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
4,2012-12-01,0.0001301495880029937,0.0001301495880029937,0.0001301495880029937,0.9910633521233145,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Small.business_lag2', 'unemployment_lag1', 'Farm...25_lag1']"
5,2013-01-01,6.39877528175771e-05,6.39877528175771e-05,6.39877528175771e-05,0.9996705773203561,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Agriculture_lag3', 'Small.business_lag2', 'Army_lag3', 'Farm...15_lag1']"
6,2013-02-01,3.9213817458121775e-05,3.9213817458121775e-05,3.9213817458121775e-05,0.9998389883626407,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Agriculture_lag3', 'Small.business_lag2', 'whole.sale_lag3']"
7,2013-03-01,0.00014171755138632242,0.00014171755138632242,0.00014171755138632242,0.9972072178975903,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'Finance...30_lag3', 'Finance...11_lag3']"
8,2013-04-01,6.123769315020261e-05,6.123769315020261e-05,6.123769315020261e-05,0.9224988840097008,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'whole.sale_lag3', 'Finance...30_lag3']"
9,2013-05-01,1.598783839795205e-05,1.598783839795205e-05,1.598783839795205e-05,0.9998248655857237,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'unemployment_lag1']"
10,2013-06-01,0.0018882341820885863,0.0018882341820885863,0.0018882341820885863,0.8717535733239201,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'real.estate_lag2']"
11,2013-07-01,6.436536001955002e-05,6.436536001955002e-05,6.436536001955002e-05,0.9997623751212006,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'Agriculture_lag3']"
12,2013-08-01,8.857737748743742e-05,8.857737748743742e-05,8.857737748743742e-05,0.9993527475603573,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
13,2013-09-01,1.2662503680150195e-05,1.2662503680150195e-05,1.2662503680150195e-05,0.9999603730423233,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
14,2013-10-01,8.125866111460042e-05,8.125866111460042e-05,8.125866111460042e-05,0.999656105665662,"['target', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag2', 'Army_lag3', 'whole.sale_lag3', 'real.estate', 'unemployment_lag1']"
15,2013-11-01,3.9812359219461e-05,3.9812359219461e-05,3.9812359219461e-05,0.9820193438241357,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'budget_lag1']"
16,2013-12-01,0.0007872183770394866,0.0007872183770394866,0.0007872183770394866,0.9830370829993511,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'unemployment_lag1', 'real.estate']"
17,2014-01-01,3.990302087072094e-06,3.990302087072094e-06,3.990302087072094e-06,0.9999945070840784,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
18,2014-02-01,0.0003266563283627847,0.0003266563283627847,0.0003266563283627847,0.9954503732296771,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
19,2014-03-01,5.168943294500076e-07,5.168943294500076e-07,5.168943294500076e-07,0.9999880630178001,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
20,2014-04-01,1.602512190991296e-06,1.602512190991296e-06,1.602512190991296e-06,0.9999995521461414,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
21,2014-05-01,0.000153018575696778,0.000153018575696778,0.000153018575696778,0.9966069347767131,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
22,2014-06-01,4.043830010510728e-05,4.043830010510728e-05,4.043830010510728e-05,0.999453693159402,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'real.estate_lag1', 'budget_lag1', 'whole.sale_lag3', 'real.estate_lag2']"
23,2014-07-01,2.7805997338848113e-05,2.7805997338848113e-05,2.7805997338848113e-05,0.9972957280183801,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'whole.sale_lag3', 'budget_lag1', 'real.estate_lag2']"
24,2014-08-01,0.00015906449865995555,0.00015906449865995555,0.00015906449865995555,0.9966739271136055,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
25,2014-09-01,0.0002452141491825202,0.0002452141491825202,0.0002452141491825202,0.9975968642429015,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
26,2014-10-01,5.362630048884147e-05,5.362630048884147e-05,5.362630048884147e-05,0.9996574407677984,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'budget_lag1']"
27,2014-11-01,0.00010290990839437631,0.00010290990839437631,0.00010290990839437631,0.9971184366898551,"['target', 'Army_lag3', 'Army_lag2', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'unemployment_lag1']"
28,2014-12-01,6.6846133798832e-07,6.6846133798832e-07,6.6846133798832e-07,0.999998935545681,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Small.business', 'budget_lag1']"
29,2015-01-01,0.00017629933964012547,0.00017629933964012547,0.00017629933964012547,0.9987001732092113,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Export_lag1', 'Small.business']"
30,2015-02-01,6.0661238466469276e-05,6.0661238466469276e-05,6.0661238466469276e-05,0.998970685209334,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
31,2015-03-01,1.6511350803838105e-06,1.6511350803838105e-06,1.6511350803838105e-06,0.9999994425716251,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
32,2015-04-01,1.6674497663481764e-05,1.6674497663481764e-05,1.6674497663481764e-05,0.9999377577242521,"['target', 'Army_lag3', 'Small.business_lag1', 'unemployment_lag1', 'Army_lag2', 'Audi_lag1', 'real.estate_lag1', 'Mining_lag3']"
33,2015-05-01,0.00015098408280199383,0.00015098408280199383,0.00015098408280199383,0.9977407574153753,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'Ford...28', 'Ford...4', 'Ford...38', 'real.estate_lag1']"
34,2015-06-01,0.0003252447411284183,0.0003252447411284183,0.0003252447411284183,0.9838996976244184,"['target', 'Army_lag3', 'Small.business_lag1', 'Ford...38', 'Ford...4', 'Ford...28', 'Army_lag2', 'unemployment_lag1']"
35,2015-07-01,0.00022248338138734346,0.00022248338138734346,0.00022248338138734346,0.9931503097235416,"['target', 'Small.business_lag1', 'Army_lag3', 'Army_lag2', 'Ford...38', 'Ford...28', 'Ford...4', 'real.estate_lag1']"
36,2015-08-01,5.2521713864855935e-05,5.2521713864855935e-05,5.2521713864855935e-05,0.9970988923850188,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
37,2015-09-01,0.00032741591894302254,0.00032741591894302254,0.00032741591894302254,0.996750780511065,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
38,2015-10-01,8.360631524740062e-06,8.360631524740062e-06,8.360631524740062e-06,0.9998445236267114,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Audi_lag1', 'real.estate_lag1']"
39,2015-11-01,3.257813375465504e-06,3.257813375465504e-06,3.257813375465504e-06,0.9999888633146942,"['target', 'Army_lag3', 'Small.business_lag1', 'Audi_lag1', 'real.estate_lag1', 'Ford...38', 'Ford...28', 'Ford...4']"
40,2015-12-01,0.00018241112014367403,0.00018241112014367403,0.00018241112014367403,0.8456378491764833,"['target', 'Small.business_lag1', 'Army_lag3', 'Audi_lag1', 'real.estate_lag1', 'Ford...4', 'Ford...38', 'Ford...28']"
41,2016-01-01,5.184581662212671e-05,5.184581662212671e-05,5.184581662212671e-05,0.9998344711419281,"['target', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Audi_lag1', 'Ford...38', 'Ford...28', 'Ford...4']"
42,2016-02-01,1.568321563802681e-05,1.568321563802681e-05,1.568321563802681e-05,0.9999835210114474,"['target', 'Audi_lag1', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Ford...38', 'Ford...28', 'Ford...4']"
43,2016-03-01,0.0003492563824721963,0.0003492563824721963,0.0003492563824721963,0.9948326762059927,"['target', 'Audi_lag1', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Finance...30_lag1', 'Finance...11_lag1', 'Ford...38']"
44,2016-04-01,7.398780159238575e-05,7.398780159238575e-05,7.398780159238575e-05,0.8908000347407761,"['target', 'Army_lag3', 'Audi_lag1', 'Small.business_lag1', 'Army_lag2', 'Finance...30_lag1', 'Finance...11_lag1', 'Food.Service_lag1']"
45,2016-05-01,0.00029504563822894004,0.00029504563822894004,0.00029504563822894004,0.9989493069584479,"['target', 'Audi_lag1', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'Finance...30_lag1', 'Finance...11_lag1', 'Food.Service_lag1']"
46,2016-06-01,1.951119489954252e-05,1.951119489954252e-05,1.951119489954252e-05,0.9999667145670071,"['target', 'Audi_lag1', 'Army_lag3', 'rental_lag1', 'Food.Service_lag1', 'real.estate_lag1', 'Finance...11_lag1', 'Finance...30_lag1']"
47,2016-07-01,5.255904785010212e-05,5.255904785010212e-05,5.255904785010212e-05,0.9999166492429327,"['target', 'Audi_lag1', 'Finance...11_lag1', 'Finance...30_lag1', 'Army_lag3', 'rental_lag1', 'Electricity_lag1', 'Food.Service_lag1']"
48,2016-08-01,5.7506232105097865e-05,5.7506232105097865e-05,5.7506232105097865e-05,0.983649621867907,"['target', 'Audi_lag1', 'unemployment_lag1', 'rental_lag1', 'Food.Service_lag1', 'Army_lag3', 'real.estate_lag1', 'Finance...30_lag1']"
49,2016-09-01,5.446869422270125e-05,5.446869422270125e-05,5.446869422270125e-05,0.9996822213267157,"['target', 'Audi_lag1', 'Army_lag3', 'Food.Service_lag1', 'unemployment_lag1', 'rental_lag1', 'Finance...11_lag1', 'Finance...30_lag1']"
50,2016-10-01,3.003777681534863e-06,3.003777681534863e-06,3.003777681534863e-06,0.9999933151623644,"['target', 'Audi_lag1', 'rental_lag1', 'Food.Service_lag1', 'unemployment_lag1', 'Army_lag3', 'Volvo', 'GDP']"
51,2016-11-01,4.0293331700995937e-05,4.0293331700995937e-05,4.0293331700995937e-05,0.9998173197063683,"['target', 'Audi_lag1', 'Food.Service_lag1', 'Army_lag3', 'unemployment_lag1', 'rental_lag1', 'Volvo', 'Army_lag2']"
