sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00028709714983842936,0.0001827427204491429,0.0001827427204491429,0.9831306480612457,"['target', 'Small.business', 'loan_lag3', 'Army', 'real.estate_lag3', 'Agriculture_lag1', 'Food.Service_lag3', 'Army_lag1']"
1,2012-09-01,0.00032529115087076376,0.00023466414596668905,0.00023466414596668905,0.9831306480612457,"['target', 'loan_lag3', 'Army', 'Small.business', 'real.estate_lag3', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1']"
2,2012-10-01,0.00033923779566807477,0.00024074413075549092,0.00024074413075549092,0.9831306480612457,"['target', 'Army', 'loan_lag3', 'Small.business', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1', 'real.estate_lag3']"
3,2012-11-01,0.00014873097153354247,0.00012609843279474595,0.00012609843279474595,0.996112449698783,"['target', 'Army', 'loan_lag3', 'Small.business', 'Army_lag1', 'Agriculture_lag1', 'Food.Service_lag3', 'real.estate_lag3']"
4,2012-12-01,0.00015248420645777217,0.0001310011465082894,0.0001310011465082894,0.9958962254782927,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Agriculture_lag1', 'Food.Service_lag3', 'travel_lag3', 'Small.business']"
5,2013-01-01,0.00018186331736517363,0.00018024885348712224,0.00018024885348712224,0.9964397242641426,"['target', 'Army_lag1', 'Army', 'real.estate_lag1', 'Food.Service_lag3', 'loan_lag3', 'Small.business', 'whole.sale_lag1']"
6,2013-02-01,0.0001414155708708804,0.00012422538929735778,0.00012422538929735778,0.9975894113059295,"['target', 'loan_lag3', 'Army_lag1', 'Army', 'whole.sale_lag1', 'real.estate', 'Food.Service_lag3', 'Farm...25_lag3']"
7,2013-03-01,6.608691500320233e-05,5.601787534884542e-05,5.601787534884542e-05,0.9991268143486872,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1', 'whole.sale_lag1', 'Farm...25_lag3']"
8,2013-04-01,0.00011119274211299539,9.157150473122404e-05,9.157150473122404e-05,0.9978291926534585,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Food.Service_lag3', 'whole.sale_lag1', 'Agriculture_lag1', 'Farm...25_lag3']"
9,2013-05-01,6.608691500320233e-05,5.601787534884542e-05,5.601787534884542e-05,0.9989104470905352,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'whole.sale_lag1', 'Finance...30_lag1', 'Finance...11_lag1', 'Food.Service_lag3']"
10,2013-06-01,0.00046378812392181186,0.00034824448507348214,0.00034824448507348214,0.9831306480612457,"['target', 'Army', 'loan_lag3', 'Army_lag1', 'whole.sale_lag1', 'Finance...11_lag1', 'Finance...30_lag1', 'real.estate']"
11,2013-07-01,0.00046378812392181186,0.00034824448507348214,0.00034824448507348214,0.9831306480612457,"['target', 'Army', 'loan_lag3', 'Army_lag1', 'whole.sale_lag1', 'real.estate', 'Finance...11_lag1', 'Finance...30_lag1']"
12,2013-08-01,0.00046378812392181186,0.00034824448507348214,0.00034824448507348214,0.9831306480612457,"['target', 'Army', 'real.estate', 'loan_lag3', 'whole.sale_lag1', 'Army_lag1', 'real.estate_lag1', 'Army_lag2']"
13,2013-09-01,0.00011796324353925443,9.47361196771544e-05,9.47361196771544e-05,0.9988166044676566,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Finance...11_lag1']"
14,2013-10-01,6.608691500320233e-05,5.601787534884542e-05,5.601787534884542e-05,0.9991268143486872,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'rental']"
15,2013-11-01,6.608691500320233e-05,5.601787534884542e-05,5.601787534884542e-05,0.9991268143486872,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Finance...30_lag1']"
16,2013-12-01,0.00046378812392181186,0.00034824448507348214,0.00034824448507348214,0.9831306480612457,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Finance...30_lag1']"
17,2014-01-01,0.00046378812392181186,0.00028145361030297816,0.00028145361030297816,0.9831306480612457,"['target', 'Army', 'Army_lag1', 'real.estate', 'loan_lag3', 'whole.sale_lag1', 'Farm...15_lag3', 'Farm...25_lag3']"
18,2014-02-01,0.00046378812392181186,0.00034824448507348214,0.00034824448507348214,0.9831306480612457,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'real.estate', 'whole.sale_lag1', 'Volvo_lag2', 'Farm...15_lag3']"
19,2014-03-01,6.608691500320233e-05,5.601787534884542e-05,5.601787534884542e-05,0.9991268143486872,"['target', 'Army', 'Army_lag1', 'real.estate', 'whole.sale_lag1', 'loan_lag3', 'whole.sale', 'Food.Service_lag3']"
20,2014-04-01,6.608691500320233e-05,5.601787534884542e-05,5.601787534884542e-05,0.9991268143486872,"['target', 'Army', 'real.estate', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'Food.Service_lag3', 'Farm...15_lag3']"
21,2014-05-01,0.00010129494145918341,7.080314490682655e-05,7.080314490682655e-05,0.9976237295821978,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'whole.sale', 'Volvo_lag2']"
22,2014-06-01,9.847281056500447e-05,5.8751438344107655e-05,5.8751438344107655e-05,0.9980693263773576,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Farm...15_lag3']"
23,2014-07-01,0.00010504173548761254,7.878431349888191e-05,7.878431349888191e-05,0.9966373093573155,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Food.Service_lag3']"
24,2014-08-01,0.00014648957289067327,0.00011110766296919847,0.00011110766296919847,0.993786637043847,"['target', 'Army', 'Army_lag1', 'loan_lag3', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Food.Service_lag3']"
25,2014-09-01,0.0002287620691637223,0.0001604599839772512,0.0001604599839772512,0.9952318241678575,"['target', 'Army_lag1', 'Army', 'whole.sale_lag1', 'real.estate', 'Volvo_lag2', 'Small.busines_lag3', 'Farm...15_lag3']"
26,2014-10-01,0.00011697744341987577,0.00011133785836862045,0.00011133785836862045,0.9989898079122729,"['target', 'Army_lag1', 'Army', 'Volvo_lag2', 'Small.busines_lag3', 'real.estate', 'whole.sale_lag1', 'Electricity_lag2']"
27,2014-11-01,7.131199703682922e-05,6.958358773764405e-05,6.958358773764405e-05,0.9991268143486872,"['target', 'Army_lag1', 'Army', 'Volvo_lag2', 'Small.busines_lag3', 'Army_lag3', 'Food.Service_lag3', 'real.estate']"
28,2014-12-01,6.608691500320233e-05,5.6411281096383684e-05,5.6411281096383684e-05,0.9991268143486872,"['target', 'Army_lag1', 'Army', 'Volvo_lag2', 'Small.busines_lag3', 'Army_lag3', 'Food.Service_lag3', 'budget_lag1']"
29,2015-01-01,6.670043765236149e-05,6.31114243148952e-05,6.31114243148952e-05,0.9991268143486872,"['target', 'Army_lag1', 'Army', 'Small.busines_lag3', 'Volvo_lag2', 'Army_lag3', 'health.policy_lag3', 'loan_lag3']"
30,2015-02-01,0.00012714496951606076,9.923279297045376e-05,9.923279297045376e-05,0.9981580785297928,"['target', 'Army_lag1', 'Army', 'Small.busines_lag3', 'health.policy_lag3', 'Army_lag3', 'Mining_lag1', 'Ford...4_lag3']"
31,2015-03-01,0.00012917038049946634,8.369187037296554e-05,8.369187037296554e-05,0.998363457494816,"['target', 'Army_lag1', 'Army', 'Small.busines_lag3', 'health.policy_lag3', 'loan_lag3', 'Army_lag3', 'Food.Service_lag3']"
32,2015-04-01,6.608691500320233e-05,5.601787534884542e-05,5.601787534884542e-05,0.9991268143486872,"['target', 'Army_lag1', 'Army', 'Small.busines_lag3', 'health.policy_lag3', 'loan_lag3', 'Army_lag3', 'Mining_lag1']"
33,2015-05-01,8.157544254328947e-05,6.209252199342406e-05,6.209252199342406e-05,0.9989583376145037,"['target', 'Army_lag1', 'Army', 'Small.busines_lag3', 'health.policy_lag3', 'Army_lag3', 'Mining_lag1', 'loan_lag3']"
34,2015-06-01,0.0002175168547317776,0.00016558697314874278,0.00016558697314874278,0.9932523258775406,"['target', 'Army_lag1', 'Army', 'health.policy_lag3', 'loan_lag3', 'Army_lag3', 'Small.busines_lag3', 'Mining_lag1']"
35,2015-07-01,0.00024472185443704314,0.00023169895175988845,0.00023169895175988845,0.9926306475025449,"['target', 'Army_lag1', 'Army', 'Ford...38_lag3', 'Ford...28_lag3', 'Ford...4_lag3', 'health.policy_lag3', 'loan_lag3']"
36,2015-08-01,0.0001832421657598879,0.0001649394220955325,0.0001649394220955325,0.9935158038343218,"['target', 'Army_lag1', 'Army', 'health.policy_lag3', 'loan_lag3', 'Small.busines_lag3', 'Mining_lag1', 'Ford...4_lag3']"
37,2015-09-01,0.00042309451379159114,0.0002912369357274803,0.0002912369357274803,0.9868693204014622,"['target', 'Army_lag1', 'Army', 'health.policy_lag3', 'loan_lag3', 'rental_lag3', 'Army_lag3', 'Ford...28_lag3']"
38,2015-10-01,0.0003187885345341675,0.00019197840058767703,0.00019197840058767703,0.9911140033789306,"['target', 'Army_lag1', 'Army', 'health.policy_lag3', 'loan_lag3', 'Army_lag3', 'rental_lag3', 'Ford...28_lag3']"
39,2015-11-01,0.0002732838422207854,0.00019023198124680282,0.00019023198124680282,0.9935844291745732,"['target', 'Army_lag1', 'Army', 'rental_lag3', 'health.policy_lag3', 'Army_lag3', 'Volvo_lag3', 'Electricity']"
40,2015-12-01,9.053658028353516e-05,6.005913393553696e-05,6.005913393553696e-05,0.9848154316176128,"['target', 'Army_lag1', 'Army', 'Volvo_lag3', 'rental_lag3', 'Army_lag3', 'health.policy_lag3', 'Food.Service_lag3']"
41,2016-01-01,7.867110206471933e-05,7.147885667087461e-05,7.147885667087461e-05,0.998877583720737,"['target', 'Army_lag1', 'Army', 'health.policy_lag3', 'Volvo_lag3', 'Army_lag3', 'rental_lag3', 'Food.Service_lag3']"
42,2016-02-01,0.000200370965394024,0.00018316433106076616,0.00018316433106076616,0.9960273862761352,"['target', 'Army_lag1', 'Army', 'health.policy_lag3', 'Volvo_lag3', 'Food.Service_lag3', 'Army_lag3', 'loan_lag3']"
43,2016-03-01,0.0002716424824675155,0.000237787911892908,0.000237787911892908,0.9958587412714653,"['target', 'Army_lag1', 'Army', 'health.policy_lag3', 'Food.Service_lag3', 'rental_lag3', 'Army_lag3', 'Volvo_lag3']"
44,2016-04-01,0.0001813173755823975,0.0001748199474386799,0.0001748199474386799,0.9974506788908146,"['target', 'Army_lag1', 'Army', 'Small.busines_lag1', 'health.policy_lag3', 'Audi', 'Food.Service_lag3', 'Army_lag3']"
45,2016-05-01,0.00046378812392181186,0.00034824448507348214,0.00034824448507348214,0.9939388921480012,"['target', 'Army_lag1', 'Army', 'Small.busines_lag1', 'Army_lag3', 'Electricity', 'loan_lag3', 'Food.Service_lag3']"
