sstart,ssample_end_date,selected_features
0,2012-08-01,"target, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_METAL_CAN, MANU_N_ORD_new_lag1, TBILL_6M.Bank_rate_lag3, IMP_CONS_BP_new, G_AVG_5.10.Bank_rate_lag3"
1,2012-09-01,"target, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, G_AVG_3.5.Bank_rate_lag3, MANU_N_ORD_new_lag1, TBILL_6M.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3, IMP_CONS_BP_new"
2,2012-10-01,"target, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, G_AVG_3.5.Bank_rate_lag3, MANU_N_ORD_new_lag1, IMP_CONS_BP_new, TBILL_6M.Bank_rate_lag3, DUR_N_ORD_new_lag1"
3,2012-11-01,"target, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_METAL_CAN, G_AVG_5.10.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, IPPI_CAN_lag3, MANU_N_ORD_new_lag1"
4,2012-12-01,"target, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3, IPPI_METAL_CAN, TBILL_6M.Bank_rate_lag3, MANU_N_ORD_new_lag1, N_DUR_INV_RAT_new"
5,2013-01-01,"target, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3, IPPI_METAL_CAN, TBILL_6M.Bank_rate_lag3, IPPI_CAN_lag3, G_AVG_1.3.Bank_rate_lag1"
6,2013-02-01,"target, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_METAL_CAN, MANU_N_ORD_new_lag1, G_AVG_5.10.Bank_rate_lag3, DUR_N_ORD_new_lag1, TBILL_6M.Bank_rate_lag3"
7,2013-03-01,"target, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, MANU_N_ORD_new_lag1, G_AVG_3.5.Bank_rate_lag3, DUR_N_ORD_new_lag1, IMP_CONS_BP_new, CLAIMS_CAN_lag3"
8,2013-04-01,"target, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, G_AVG_3.5.Bank_rate_lag3, IMP_CONS_BP_new, MANU_N_ORD_new_lag1, IPPI_CAN, TBILL_6M.Bank_rate_lag3"
9,2013-05-01,"target, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, IMP_CONS_BP_new, MANU_N_ORD_new_lag1, G_AVG_3.5.Bank_rate_lag3, DUR_N_ORD_new_lag1, EMP_CONS_CAN_lag1"
10,2013-06-01,"target, IMP_CONS_BP_new, IPPI_METAL_CAN, G_AVG_1.3.Bank_rate_lag3, CLAIMS_CAN_lag3, Exp_BP_new, IPPI_CAN, IPPI_CAN_lag3"
11,2013-07-01,"target, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, Exp_BP_new, EX_ENER_BP_new_lag1, CLAIMS_CAN_lag3, IPPI_CAN_lag3"
12,2013-08-01,"target, IMP_CONS_BP_new, IPPI_METAL_CAN, G_AVG_1.3.Bank_rate_lag3, CRED_HOUS_MORT_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_CAN_lag3, EX_ENER_BP_new_lag1"
13,2013-09-01,"target, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, CRED_HOUS_MORT_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_CAN_lag3, G_AVG_5.10.Bank_rate_lag3"
14,2013-10-01,"target, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, CRED_HOUS_MORT_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_CAN_lag3, EX_ENER_BP_new_lag1"
15,2013-11-01,"target, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, IPPI_CAN_lag3, G_AVG_3.5.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, EX_ENER_BP_new_lag1"
16,2013-12-01,"target, G_AVG_1.3.Bank_rate_lag3, IMP_CONS_BP_new, IPPI_METAL_CAN, EX_ENER_BP_new_lag1, TBILL_6M.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_CAN_lag3"
17,2014-01-01,"target, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, EX_ENER_BP_new_lag1, G_AVG_3.5.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, IPPI_METAL_CAN, TOT_HRS_CAN_lag3"
18,2014-02-01,"target, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, EX_ENER_BP_new_lag1, TOT_HRS_CAN_lag3, IPPI_METAL_CAN, TBILL_6M.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3"
19,2014-03-01,"target, IMP_CONS_BP_new, EX_ENER_BP_new_lag1, G_AVG_1.3.Bank_rate_lag3, DUR_UNFIL_new_lag1, IPPI_METAL_CAN, MANU_UNFIL_new_lag1, IPPI_CAN_lag3"
20,2014-04-01,"target, IMP_CONS_BP_new, EX_ENER_BP_new_lag1, G_AVG_1.3.Bank_rate_lag3, IPPI_METAL_CAN, TBILL_6M.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, DUR_UNFIL_new_lag1"
21,2014-05-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, IPPI_METAL_CAN, G_AVG_5.10.Bank_rate_lag3"
22,2014-06-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, IPPI_METAL_CAN, TBILL_6M.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3"
23,2014-07-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, IPPI_METAL_CAN, G_AVG_5.10.Bank_rate_lag3"
24,2014-08-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, DUR_INV_RAT_new"
25,2014-09-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, DUR_INV_RAT_new, G_AVG_5.10.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3"
26,2014-10-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, DUR_INV_RAT_new, TBILL_6M.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3"
27,2014-11-01,"target, EX_ENER_BP_new_lag1, G_AVG_1.3.Bank_rate_lag3, IMP_CONS_BP_new, G_AVG_3.5.Bank_rate_lag3, DUR_INV_RAT_new, G_AVG_5.10.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3"
28,2014-12-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, DUR_INV_RAT_new, G_AVG_3.5.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3"
29,2015-01-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3, DUR_INV_RAT_new, TBILL_6M.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3"
30,2015-02-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, DUR_INV_RAT_new, G_AVG_3.5.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3"
31,2015-03-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, CPI_SHEL_CAN_lag1, G_AVG_1.3.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, Exp_BP_new_lag1, IPPI_METAL_CAN_lag1"
32,2015-04-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, IMP_CONS_BP_new, G_AVG_1.3.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, Exp_BP_new_lag1, IPPI_METAL_CAN_lag1"
33,2015-05-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, CPI_SHEL_CAN_lag1, TBILL_6M.Bank_rate_lag3, G_AVG_1.3.Bank_rate_lag3, Exp_BP_new_lag1, IPPI_METAL_CAN_lag1"
34,2015-06-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, CPI_SHEL_CAN_lag1, Exp_BP_new_lag1, TBILL_6M.Bank_rate_lag3, EOIL_BP_new_lag1, IPPI_METAL_CAN_lag1"
35,2015-07-01,"target, EX_ENER_BP_new_lag1, IMP_CONS_BP_new, CPI_SHEL_CAN_lag1, G_AVG_1.3.Bank_rate_lag3, Exp_BP_new_lag1, EOIL_BP_new_lag1, TBILL_6M.Bank_rate_lag3"
36,2015-08-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, IMP_CONS_BP_new, Exp_BP_new_lag1, G_AVG_1.3.Bank_rate_lag3, TBILL_6M.Bank_rate_lag3, EMP_CONS_CAN_lag2"
37,2015-09-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, IMP_CONS_BP_new, Exp_BP_new_lag1, EOIL_BP_new_lag1, TBILL_6M.Bank_rate_lag3, DUR_INV_RAT_new"
38,2015-10-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, EOIL_BP_new_lag1, DUR_INV_RAT_new, TBILL_6M.Bank_rate, IMP_CONS_BP_new, TBILL_6M.Bank_rate_lag1"
39,2015-11-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, IMP_CONS_BP_new, EMP_CONS_CAN_lag2, EOIL_BP_new_lag1, DUR_INV_RAT_new, Exp_BP_new_lag1"
40,2015-12-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, EMP_CONS_CAN_lag2, IMP_CONS_BP_new, DUR_INV_RAT_new, EOIL_BP_new_lag1, IPPI_METAL_CAN_lag1"
41,2016-01-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, Exp_BP_new_lag1, EMP_CONS_CAN_lag2, CRED_HOUS_non_MORT_lag1, EOIL_BP_new_lag1, DUR_INV_RAT_new"
42,2016-02-01,"target, EX_ENER_BP_new_lag1, CPI_SHEL_CAN_lag1, IPPI_METAL_CAN_lag3, CPI_ALL_CAN_lag1, Exp_BP_new_lag1, WTISPLC_lag2, CPI_MINUS_FOO_CAN_lag1"
43,2016-03-01,"target, CPI_SHEL_CAN_lag1, EX_ENER_BP_new_lag1, IPPI_METAL_CAN_lag3, IPPI_CAN_lag1, CPI_GOO_CAN_lag1, WTISPLC_lag2, CPI_ALL_CAN_lag1"
44,2016-04-01,"target, CPI_SHEL_CAN_lag1, EX_ENER_BP_new_lag1, WTISPLC_lag2, IPPI_METAL_CAN_lag3, CPI_ALL_CAN_lag1, CPI_GOO_CAN_lag1, EOIL_BP_new_lag1"
45,2016-05-01,"target, CPI_SHEL_CAN_lag1, EX_ENER_BP_new_lag1, IPPI_METAL_CAN_lag3, WTISPLC_lag2, EMP_FOR_OIL_CAN_lag1, EOIL_BP_new_lag1, CPI_ALL_CAN_lag1"
46,2016-06-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, CPI_SHEL_CAN_lag1, IPPI_METAL_CAN_lag3, DUR_TOT_INV_new_lag2, WTISPLC_lag2, EX_ENER_BP_new_lag1"
47,2016-07-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, CPI_SHEL_CAN_lag1, IPPI_METAL_CAN_lag3, DUR_TOT_INV_new_lag2, CPI_HEA_CAN_lag1, RES_USD"
48,2016-08-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, CPI_HEA_CAN_lag1, TOT_HRS_CAN_lag3, EMP_CONS_CAN_lag2, EX_ENER_BP_new_lag1, DUR_TOT_INV_new_lag2"
49,2016-09-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, DUR_TOT_INV_new_lag2, GOOD_HRS_CAN_lag3, EX_ENER_BP_new_lag1, TOT_HRS_CAN_lag3, UNEMP_DURA_27._CAN_lag3"
50,2016-10-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, FOR_SEC_NETFLOW_lag1, GOOD_HRS_CAN_lag3, EX_ENER_BP_new_lag1, UNEMP_DURA_27._CAN_lag3, TOT_HRS_CAN_lag3"
51,2016-11-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, UNEMP_DURA_27._CAN_lag3, FOR_SEC_NETFLOW_lag1, EX_ENER_BP_new_lag1, GOOD_HRS_CAN_lag3, IMP_METAL_BP_new_lag3"
52,2016-12-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, FOR_SEC_NETFLOW_lag1, CPI_HEA_CAN_lag1, UNEMP_DURA_27._CAN_lag3, RES_USD, EX_ENER_BP_new_lag1"
53,2017-01-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, CPI_HEA_CAN_lag1, FOR_SEC_NETFLOW_lag1, EX_ENER_BP_new_lag1, UNEMP_DURA_27._CAN_lag3, IOIL_BP_new_lag2"
