sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.0008341996402054775,0.0007179727430665002,0.0007179727430665002,0.7029019546680799,"['target', 'real.estate', 'GDP', 'travel', 'loan', 'Food.Service', 'loan_lag2', 'Mining']"
1,2012-09-01,0.0015274777085334725,0.0010528992621266808,0.0010528992621266808,-0.009270211204975398,"['target', 'travel', 'GDP', 'Food.Service', 'real.estate', 'loan', 'Electricity_lag3', 'loan_lag2']"
2,2012-10-01,0.001732337105127755,0.0013935642154016407,0.0013935642154016407,-0.5248829869572527,"['target', 'Food.Service', 'GDP', 'loan', 'Mining', 'real.estate', 'unemployment_lag1', 'Audi_lag1']"
3,2012-11-01,0.0021968033573289895,0.0018285639437660504,0.0018285639437660504,-0.17802450069433662,"['target', 'Food.Service', 'GDP', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'Electricity_lag3', 'loan']"
4,2012-12-01,0.0021998164274508033,0.0018708746276203745,0.0018708746276203745,-0.12060317067325776,"['target', 'Food.Service', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'GDP', 'Electricity_lag3', 'loan']"
5,2013-01-01,0.0021745746644587704,0.0019144808913629287,0.0019144808913629287,0.2653203600447891,"['target', 'Food.Service', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'Electricity_lag3', 'loan', 'GDP']"
6,2013-02-01,0.0018828699317208156,0.001518613480749769,0.001518613480749769,0.5108148953107496,"['target', 'Food.Service', 'loan', 'Ford...4_lag1', 'Ford...28_lag1', 'Ford...38_lag1', 'GDP', 'loan_lag2']"
7,2013-03-01,0.001796853380090407,0.0014030599382981498,0.0014030599382981498,0.6253809817211378,"['target', 'Ford...4_lag1', 'Ford...28_lag1', 'Ford...38_lag1', 'loan', 'GDP', 'loan_lag2', 'Food.Service']"
8,2013-04-01,0.0012433373916717597,0.0008006231347937763,0.0008006231347937763,0.8102335030250032,"['target', 'loan', 'Ford...28_lag1', 'Ford...4_lag1', 'Ford...38_lag1', 'GDP', 'loan_lag2', 'Food.Service']"
9,2013-05-01,0.0013433157677203776,0.0008265781054349478,0.0008265781054349478,0.7113689855032037,"['target', 'loan', 'Food.Service_lag1', 'rental_lag3', 'GDP', 'loan_lag2', 'Electricity_lag3', 'Ford...28_lag1']"
