sstart,ssample_end_date,selected_features
0,2012-08-01,"target, real.estate, Small.business_lag1, Army_lag2, Small.business_lag2, budget, Farm...25_lag1, Farm...15_lag1"
1,2012-09-01,"target, real.estate, Small.business_lag1, Army_lag2, Small.business_lag2, Farm...25_lag1, Farm...15_lag1, Army_lag3"
2,2012-10-01,"target, Small.business_lag1, real.estate, Small.business_lag2, Army_lag2, Army_lag3, Farm...15_lag1, Farm...25_lag1"
3,2012-11-01,"target, Small.business_lag1, real.estate, Small.business_lag2, Army_lag2, Army_lag3, Farm...15_lag1, Farm...25_lag1"
4,2012-12-01,"target, Small.business_lag1, Army_lag2, real.estate, Army_lag3, Small.business_lag2, unemployment_lag1, Farm...25_lag1"
5,2013-01-01,"target, Small.business_lag1, Army_lag2, real.estate, Agriculture_lag3, Small.business_lag2, Army_lag3, Farm...15_lag1"
6,2013-02-01,"target, Small.business_lag1, Army_lag2, real.estate, Army_lag3, Agriculture_lag3, Small.business_lag2, whole.sale_lag3"
7,2013-03-01,"target, Small.business_lag1, Army_lag2, Army_lag3, real.estate, Agriculture_lag3, Finance...30_lag3, Finance...11_lag3"
8,2013-04-01,"target, Small.business_lag1, Army_lag2, Army_lag3, real.estate, Agriculture_lag3, whole.sale_lag3, Finance...30_lag3"
9,2013-05-01,"target, Small.business_lag1, Army_lag2, Army_lag3, real.estate, whole.sale_lag3, Agriculture_lag3, unemployment_lag1"
10,2013-06-01,"target, Army_lag3, Small.business_lag1, Army_lag2, real.estate, whole.sale_lag3, Agriculture_lag3, real.estate_lag2"
11,2013-07-01,"target, Army_lag2, Army_lag3, Small.business_lag1, whole.sale_lag3, real.estate_lag2, real.estate, Agriculture_lag3"
12,2013-08-01,"target, Army_lag2, Army_lag3, whole.sale_lag3, Small.business_lag1, real.estate_lag2, real.estate, unemployment_lag1"
13,2013-09-01,"target, Army_lag2, Army_lag3, whole.sale_lag3, Small.business_lag1, real.estate_lag2, real.estate, unemployment_lag1"
14,2013-10-01,"target, Army_lag2, Small.business_lag1, real.estate_lag2, Army_lag3, whole.sale_lag3, real.estate, unemployment_lag1"
15,2013-11-01,"target, Army_lag2, Army_lag3, Small.business_lag1, whole.sale_lag3, real.estate_lag2, real.estate, budget_lag1"
16,2013-12-01,"target, Army_lag2, Army_lag3, Small.business_lag1, whole.sale_lag3, real.estate_lag2, unemployment_lag1, real.estate"
17,2014-01-01,"target, Army_lag2, Army_lag3, whole.sale_lag3, Small.business_lag1, real.estate_lag2, real.estate, unemployment_lag1"
18,2014-02-01,"target, Army_lag2, Small.business_lag1, Army_lag3, whole.sale_lag3, real.estate_lag2, real.estate_lag1, real.estate"
19,2014-03-01,"target, Army_lag2, Small.business_lag1, Army_lag3, whole.sale_lag3, real.estate_lag2, real.estate_lag1, real.estate"
20,2014-04-01,"target, Army_lag2, Small.business_lag1, Army_lag3, whole.sale_lag3, real.estate_lag1, real.estate, real.estate_lag2"
21,2014-05-01,"target, Army_lag2, Army_lag3, Small.business_lag1, whole.sale_lag3, real.estate_lag1, real.estate, real.estate_lag2"
22,2014-06-01,"target, Army_lag2, Small.business_lag1, Army_lag3, real.estate_lag1, budget_lag1, whole.sale_lag3, real.estate_lag2"
23,2014-07-01,"target, Small.business_lag1, Army_lag2, Army_lag3, real.estate_lag1, whole.sale_lag3, budget_lag1, real.estate_lag2"
24,2014-08-01,"target, Army_lag2, Army_lag3, real.estate_lag1, Small.business_lag1, Farm...15_lag1, Farm...25_lag1, whole.sale_lag3"
25,2014-09-01,"target, Army_lag2, Army_lag3, real.estate_lag1, Small.business_lag1, Farm...15_lag1, Farm...25_lag1, whole.sale_lag3"
26,2014-10-01,"target, Army_lag2, Army_lag3, Small.business_lag1, real.estate_lag1, Farm...15_lag1, Farm...25_lag1, budget_lag1"
27,2014-11-01,"target, Army_lag3, Army_lag2, real.estate_lag1, Small.business_lag1, Farm...15_lag1, Farm...25_lag1, unemployment_lag1"
28,2014-12-01,"target, Army_lag3, Army_lag2, Small.business_lag1, real.estate_lag1, unemployment_lag1, Small.business, budget_lag1"
29,2015-01-01,"target, Army_lag3, Army_lag2, Small.business_lag1, real.estate_lag1, unemployment_lag1, Export_lag1, Small.business"
30,2015-02-01,"target, Army_lag3, Army_lag2, Small.business_lag1, real.estate_lag1, unemployment_lag1, Audi_lag1, Export_lag1"
31,2015-03-01,"target, Army_lag3, Small.business_lag1, Army_lag2, real.estate_lag1, unemployment_lag1, Audi_lag1, Export_lag1"
32,2015-04-01,"target, Army_lag3, Small.business_lag1, unemployment_lag1, Army_lag2, Audi_lag1, real.estate_lag1, Mining_lag3"
33,2015-05-01,"target, Army_lag3, Small.business_lag1, Army_lag2, Ford...28, Ford...4, Ford...38, real.estate_lag1"
34,2015-06-01,"target, Army_lag3, Small.business_lag1, Ford...38, Ford...4, Ford...28, Army_lag2, unemployment_lag1"
35,2015-07-01,"target, Small.business_lag1, Army_lag3, Army_lag2, Ford...38, Ford...28, Ford...4, real.estate_lag1"
36,2015-08-01,"target, Small.business_lag1, Army_lag3, Ford...38, Ford...28, Ford...4, Army_lag2, real.estate_lag1"
37,2015-09-01,"target, Small.business_lag1, Army_lag3, Ford...38, Ford...28, Ford...4, Army_lag2, real.estate_lag1"
38,2015-10-01,"target, Small.business_lag1, Army_lag3, Ford...38, Ford...28, Ford...4, Audi_lag1, real.estate_lag1"
39,2015-11-01,"target, Army_lag3, Small.business_lag1, Audi_lag1, real.estate_lag1, Ford...38, Ford...28, Ford...4"
40,2015-12-01,"target, Small.business_lag1, Army_lag3, Audi_lag1, real.estate_lag1, Ford...4, Ford...38, Ford...28"
41,2016-01-01,"target, Army_lag3, Small.business_lag1, real.estate_lag1, Audi_lag1, Ford...38, Ford...28, Ford...4"
42,2016-02-01,"target, Audi_lag1, Army_lag3, Small.business_lag1, real.estate_lag1, Ford...38, Ford...28, Ford...4"
43,2016-03-01,"target, Audi_lag1, Army_lag3, Small.business_lag1, real.estate_lag1, Finance...30_lag1, Finance...11_lag1, Ford...38"
44,2016-04-01,"target, Army_lag3, Audi_lag1, Small.business_lag1, Army_lag2, Finance...30_lag1, Finance...11_lag1, Food.Service_lag1"
45,2016-05-01,"target, Audi_lag1, Army_lag3, Small.business_lag1, Army_lag2, Finance...30_lag1, Finance...11_lag1, Food.Service_lag1"
46,2016-06-01,"target, Audi_lag1, Army_lag3, rental_lag1, Food.Service_lag1, real.estate_lag1, Finance...11_lag1, Finance...30_lag1"
47,2016-07-01,"target, Audi_lag1, Finance...11_lag1, Finance...30_lag1, Army_lag3, rental_lag1, Electricity_lag1, Food.Service_lag1"
48,2016-08-01,"target, Audi_lag1, unemployment_lag1, rental_lag1, Food.Service_lag1, Army_lag3, real.estate_lag1, Finance...30_lag1"
49,2016-09-01,"target, Audi_lag1, Army_lag3, Food.Service_lag1, unemployment_lag1, rental_lag1, Finance...11_lag1, Finance...30_lag1"
50,2016-10-01,"target, Audi_lag1, rental_lag1, Food.Service_lag1, unemployment_lag1, Army_lag3, Volvo, GDP"
51,2016-11-01,"target, Audi_lag1, Food.Service_lag1, Army_lag3, unemployment_lag1, rental_lag1, Volvo, Army_lag2"
52,2016-12-01,"target, Audi_lag1, Food.Service_lag1, Army_lag3, unemployment_lag1, Electricity_lag2, Small.busines_lag3, real.estate_lag1"
53,2017-01-01,"target, Audi_lag1, Food.Service_lag1, Army_lag3, Electricity_lag2, Small.business_lag1, rental_lag1, unemployment_lag1"
54,2017-02-01,"target, Audi_lag1, Army_lag3, Food.Service_lag1, Electricity_lag2, Electricity_lag1, real.estate_lag1, Audi_lag2"
55,2017-03-01,"target, Audi_lag1, Army_lag3, Food.Service_lag1, rental_lag1, Audi_lag2, Electricity_lag2, Army_lag2"
56,2017-04-01,"target, Audi_lag1, Food.Service_lag1, Army_lag3, Audi_lag2, Electricity_lag2, Electricity_lag1, rental_lag1"
57,2017-05-01,"target, Audi_lag1, Army_lag3, Food.Service_lag1, Audi_lag2, rental_lag1, Electricity_lag2, Electricity_lag1"
58,2017-06-01,"target, Audi_lag1, Army_lag3, Food.Service_lag1, Audi_lag2, rental_lag1, Army_lag2, Electricity_lag1"
59,2017-07-01,"target, Audi_lag1, Army_lag3, Audi_lag2, Electricity_lag1, rental_lag1, Army_lag2, Electricity_lag2"
60,2017-08-01,"target, Audi_lag1, Army_lag3, Audi_lag2, Food.Service_lag1, Electricity_lag1, Small.business_lag3, rental_lag1"
61,2017-09-01,"target, Audi_lag1, Army_lag3, Audi_lag2, Electricity_lag1, Food.Service_lag1, Small.business_lag3, loan_lag2"
62,2017-10-01,"target, Audi_lag1, Electricity_lag1, Small.business_lag3, rental_lag1, Audi_lag2, loan_lag2, Farm...25_lag1"
63,2017-11-01,"target, Audi_lag1, Electricity_lag1, rental_lag1, Small.business_lag3, loan_lag2, Audi_lag2, Farm...25_lag1"
64,2017-12-01,"target, Audi_lag1, Small.business_lag3, Electricity_lag1, loan_lag2, Farm...25_lag2, Farm...15_lag2, Farm...25_lag1"
65,2018-01-01,"target, Audi_lag1, Small.business_lag3, Electricity_lag1, Farm...25_lag2, Farm...15_lag2, loan_lag2, Farm...15_lag1"
66,2018-02-01,"target, Audi_lag1, Small.business_lag3, Electricity_lag1, Farm...25_lag2, Farm...15_lag2, loan_lag2, Electricity_lag3"
67,2018-03-01,"target, Audi_lag1, Small.business_lag3, Electricity_lag1, Electricity_lag3, loan_lag2, Farm...25_lag2, Farm...15_lag2"
68,2018-04-01,"target, Small.business_lag3, Audi_lag1, loan_lag2, Electricity_lag3, Farm...25_lag2, Farm...15_lag2, loan_lag1"
69,2018-05-01,"target, Small.business_lag3, Audi_lag1, loan_lag2, Electricity_lag3, Farm...25_lag2, Farm...15_lag2, Property.management_lag2"
70,2018-06-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, loan_lag2, Farm...25_lag2, Farm...15_lag2, Property.management_lag2"
71,2018-07-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, loan_lag2, unemployment_lag1, Farm...25_lag2, Farm...15_lag2"
72,2018-08-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, Farm...25_lag2, Farm...15_lag2, loan_lag2, unemployment_lag1"
73,2018-09-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, loan_lag2, unemployment_lag1, loan_lag1, Services"
74,2018-10-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, loan_lag2, Farm...25_lag2, Farm...15_lag2, loan_lag1"
75,2018-11-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, loan_lag2, Farm...25_lag2, Farm...15_lag2, loan_lag1"
76,2018-12-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, loan_lag2, Farm...25_lag2, Farm...15_lag2, Services"
77,2019-01-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, loan_lag2, Services, online_lag1, rental"
78,2019-02-01,"target, Small.business_lag3, Audi_lag1, Electricity_lag3, Services, loan_lag2, online_lag1, Farm...25_lag2"
79,2019-03-01,"target, Small.business_lag3, Electricity_lag3, Audi_lag1, Services, loan_lag2, Farm...25_lag2, Farm...15_lag2"
80,2019-04-01,"target, Small.business_lag3, Electricity_lag3, Audi_lag1, Services, Farm...25_lag2, Farm...15_lag2, online_lag1"
81,2019-05-01,"target, Small.business_lag3, Electricity_lag3, Audi_lag1, Farm...25_lag2, Farm...15_lag2, Services, rental"
82,2019-06-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, Services, Farm...25_lag2, Farm...15_lag2, Services_lag3"
83,2019-07-01,"target, Electricity_lag3, Small.business_lag3, Farm...25_lag2, Farm...15_lag2, Audi_lag1, Services_lag3, rental"
84,2019-08-01,"target, Electricity_lag3, Small.business_lag3, Farm...25_lag2, Farm...15_lag2, Services_lag3, Audi_lag1, online_lag1"
85,2019-09-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, online_lag1, Services_lag3, Farm...25_lag2, Farm...15_lag2"
86,2019-10-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, Farm...25_lag1, Farm...15_lag1, Services_lag3, online_lag1"
87,2019-11-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, online_lag1, Farm...25_lag1, Farm...15_lag1, Services_lag3"
88,2019-12-01,"target, Electricity_lag3, Small.business_lag3, Farm...25_lag1, Farm...15_lag1, Audi_lag1, online_lag1, Services_lag3"
89,2020-01-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, Farm...25_lag1, Farm...15_lag1, Services_lag3, rental"
90,2020-02-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, health.policy_lag2, Services_lag3, online_lag1, Farm...15_lag1"
91,2020-03-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, Services_lag3, online_lag1, rental, health.policy_lag2"
92,2020-04-01,"target, Electricity_lag3, Small.business_lag3, rental, Audi_lag1, online_lag1, Farm...25_lag1, Farm...15_lag1"
93,2020-05-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, rental, Farm...25_lag1, Farm...15_lag1, online_lag1"
94,2020-06-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, rental, health.policy_lag2, Farm...15_lag1, Farm...25_lag1"
95,2020-07-01,"target, Small.business_lag3, Electricity_lag3, Audi_lag1, online_lag1, Farm...15_lag1, Farm...25_lag1, rental"
96,2020-08-01,"target, Small.business_lag3, Electricity_lag3, Audi_lag1, health.policy_lag2, online_lag1, Services_lag3, rental"
97,2020-09-01,"target, Small.business_lag3, Electricity_lag3, Audi_lag1, online_lag1, health.policy_lag2, Services_lag3, trade_lag3"
98,2020-10-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, online_lag1, Services, trade_lag3, Services_lag3"
99,2020-11-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, online_lag1, trade_lag3, consumption, Consumption"
100,2020-12-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, online_lag1, Consumption, consumption, trade_lag3"
101,2021-01-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, consumption, Consumption, online_lag1, trade_lag3"
102,2021-02-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, Consumption, consumption, trade_lag3, rental"
103,2021-03-01,"target, Electricity_lag3, Small.business_lag3, Consumption, consumption, Audi_lag1, trade_lag3, rental"
104,2021-04-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, consumption, Consumption, trade_lag1, trade_lag3"
105,2021-05-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, online_lag1, Export, Consumption, consumption"
106,2021-06-01,"target, Electricity_lag3, Small.business_lag3, Audi_lag1, trade, online_lag1, consumption, Consumption"
107,2021-07-01,"target, Electricity_lag3, Small.business_lag3, Export, consumption, Consumption, Consumption_lag1, consumption_lag1"
108,2021-08-01,"target, Electricity_lag3, Small.business_lag3, Property.management_lag1, rental, unemployment_lag2, Services, Consumption_lag1"
