sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.0015256719353947104,0.0015256719353947104,0.0015256719353947104,0.6603257865150773,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'budget', 'Farm...25_lag1', 'Farm...15_lag1']"
1,2012-09-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.3098055162702118,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'Farm...25_lag1', 'Farm...15_lag1', 'Army_lag3']"
2,2012-10-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.3098055162702118,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
3,2012-11-01,0.0003421338122508071,0.0003421338122508071,0.0003421338122508071,0.9892753626007026,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
4,2012-12-01,0.0018325211251872273,0.0018325211251872273,0.0018325211251872273,0.3098055162702118,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Small.business_lag2', 'unemployment_lag1', 'Farm...25_lag1']"
5,2013-01-01,0.0010118369987662207,0.0010118369987662207,0.0010118369987662207,0.9176277573560289,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Agriculture_lag3', 'Small.business_lag2', 'Army_lag3', 'Farm...15_lag1']"
6,2013-02-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9892753626007026,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Agriculture_lag3', 'Small.business_lag2', 'whole.sale_lag3']"
7,2013-03-01,0.00159868616986653,0.00159868616986653,0.00159868616986653,0.6446009941615223,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'Finance...30_lag3', 'Finance...11_lag3']"
8,2013-04-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.5091570056871766,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'whole.sale_lag3', 'Finance...30_lag3']"
9,2013-05-01,0.000885563450889477,0.000885563450889477,0.000885563450889477,0.46268203347906056,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'unemployment_lag1']"
10,2013-06-01,0.00031159026300563034,0.00031159026300563034,0.00031159026300563034,0.9892753626007026,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'real.estate_lag2']"
11,2013-07-01,0.0017795699573112376,0.0017795699573112376,0.0017795699573112376,0.8183574318274341,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'Agriculture_lag3']"
12,2013-08-01,0.0002892955092951505,0.0002892955092951505,0.0002892955092951505,0.9892753626007026,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
13,2013-09-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9892753626007026,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
14,2013-10-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.6609859324263943,"['target', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag2', 'Army_lag3', 'whole.sale_lag3', 'real.estate', 'unemployment_lag1']"
15,2013-11-01,0.0007019647075058569,0.0007019647075058569,0.0007019647075058569,0.3098055162702118,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'budget_lag1']"
16,2013-12-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.86478582910733,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'unemployment_lag1', 'real.estate']"
17,2014-01-01,0.0005563348794962275,0.0005563348794962275,0.0005563348794962275,0.8932263771441384,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
18,2014-02-01,0.0015299717540865343,0.0015299717540865343,0.0015299717540865343,0.9001931281146094,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
19,2014-03-01,0.00056474207208855,0.00056474207208855,0.00056474207208855,0.3098055162702118,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
20,2014-04-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9892753626007026,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
21,2014-05-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9892753626007026,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
22,2014-06-01,0.0008341342307505656,0.0008341342307505656,0.0008341342307505656,0.7675536428279295,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'real.estate_lag1', 'budget_lag1', 'whole.sale_lag3', 'real.estate_lag2']"
23,2014-07-01,0.0006116745309082919,0.0006116745309082919,0.0006116745309082919,0.3098055162702118,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'whole.sale_lag3', 'budget_lag1', 'real.estate_lag2']"
24,2014-08-01,0.0014182776736988156,0.0014182776736988156,0.0014182776736988156,0.7355717975867426,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
25,2014-09-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.8292223328483338,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
26,2014-10-01,0.0002183071728429145,0.0002183071728429145,0.0002183071728429145,0.9892753626007026,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'budget_lag1']"
27,2014-11-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.3098055162702118,"['target', 'Army_lag3', 'Army_lag2', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'unemployment_lag1']"
28,2014-12-01,0.0002415263585779303,0.0002415263585779303,0.0002415263585779303,0.8610356155576206,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Small.business', 'budget_lag1']"
29,2015-01-01,0.0006764131159171165,0.0006764131159171165,0.0006764131159171165,0.980865894988111,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Export_lag1', 'Small.business']"
30,2015-02-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.3098055162702118,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
31,2015-03-01,0.0012879169651276179,0.0012879169651276179,0.0012879169651276179,0.6608439327342434,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
32,2015-04-01,0.0014856341675591037,0.0014856341675591037,0.0014856341675591037,0.5059126864077863,"['target', 'Army_lag3', 'Small.business_lag1', 'unemployment_lag1', 'Army_lag2', 'Audi_lag1', 'real.estate_lag1', 'Mining_lag3']"
33,2015-05-01,0.0004521754214905395,0.0004521754214905395,0.0004521754214905395,0.9797365009901912,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'Ford...28', 'Ford...4', 'Ford...38', 'real.estate_lag1']"
34,2015-06-01,0.0011581337572644612,0.0011581337572644612,0.0011581337572644612,0.7958586853306265,"['target', 'Army_lag3', 'Small.business_lag1', 'Ford...38', 'Ford...4', 'Ford...28', 'Army_lag2', 'unemployment_lag1']"
35,2015-07-01,0.0006145857996946178,0.0006145857996946178,0.0006145857996946178,0.9477314052331639,"['target', 'Small.business_lag1', 'Army_lag3', 'Army_lag2', 'Ford...38', 'Ford...28', 'Ford...4', 'real.estate_lag1']"
36,2015-08-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9892753626007026,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
37,2015-09-01,0.00046803958426141785,0.00046803958426141785,0.00046803958426141785,0.9892753626007026,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
38,2015-10-01,0.0005040392084223027,0.0005040392084223027,0.0005040392084223027,0.434913572239946,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Audi_lag1', 'real.estate_lag1']"
39,2015-11-01,0.00048305257647408774,0.00048305257647408774,0.00048305257647408774,0.7551543743403197,"['target', 'Army_lag3', 'Small.business_lag1', 'Audi_lag1', 'real.estate_lag1', 'Ford...38', 'Ford...28', 'Ford...4']"
40,2015-12-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.8448144438319413,"['target', 'Small.business_lag1', 'Army_lag3', 'Audi_lag1', 'real.estate_lag1', 'Ford...4', 'Ford...38', 'Ford...28']"
41,2016-01-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9892753626007026,"['target', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Audi_lag1', 'Ford...38', 'Ford...28', 'Ford...4']"
42,2016-02-01,0.0004094688367222441,0.0004094688367222441,0.0004094688367222441,0.9887668377020379,"['target', 'Audi_lag1', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Ford...38', 'Ford...28', 'Ford...4']"
43,2016-03-01,0.0005418778697162153,0.0005418778697162153,0.0005418778697162153,0.9875611622508776,"['target', 'Audi_lag1', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Finance...30_lag1', 'Finance...11_lag1', 'Ford...38']"
44,2016-04-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9461817784910527,"['target', 'Army_lag3', 'Audi_lag1', 'Small.business_lag1', 'Army_lag2', 'Finance...30_lag1', 'Finance...11_lag1', 'Food.Service_lag1']"
45,2016-05-01,0.0018917086389703078,0.0018917086389703078,0.0018917086389703078,0.6000175101322608,"['target', 'Audi_lag1', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'Finance...30_lag1', 'Finance...11_lag1', 'Food.Service_lag1']"
46,2016-06-01,0.0008669395395030461,0.0008669395395030461,0.0008669395395030461,0.9342850626714052,"['target', 'Audi_lag1', 'Army_lag3', 'rental_lag1', 'Food.Service_lag1', 'real.estate_lag1', 'Finance...11_lag1', 'Finance...30_lag1']"
47,2016-07-01,0.0011557886330301826,0.0011557886330301826,0.0011557886330301826,0.9596938414723792,"['target', 'Audi_lag1', 'Finance...11_lag1', 'Finance...30_lag1', 'Army_lag3', 'rental_lag1', 'Electricity_lag1', 'Food.Service_lag1']"
48,2016-08-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.8726053052262558,"['target', 'Audi_lag1', 'unemployment_lag1', 'rental_lag1', 'Food.Service_lag1', 'Army_lag3', 'real.estate_lag1', 'Finance...30_lag1']"
49,2016-09-01,0.0001845716498357672,0.0001845716498357672,0.0001845716498357672,0.9892753626007026,"['target', 'Audi_lag1', 'Army_lag3', 'Food.Service_lag1', 'unemployment_lag1', 'rental_lag1', 'Finance...11_lag1', 'Finance...30_lag1']"
50,2016-10-01,0.0002583626570872728,0.0002583626570872728,0.0002583626570872728,0.9505444796352294,"['target', 'Audi_lag1', 'rental_lag1', 'Food.Service_lag1', 'unemployment_lag1', 'Army_lag3', 'Volvo', 'GDP']"
51,2016-11-01,0.0005277852357823895,0.0005277852357823895,0.0005277852357823895,0.9686570537984672,"['target', 'Audi_lag1', 'Food.Service_lag1', 'Army_lag3', 'unemployment_lag1', 'rental_lag1', 'Volvo', 'Army_lag2']"
