sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.001046729402645977,0.0008463471375043298,0.0008463471375043298,0.574811607748285,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'EOIL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
1,2012-09-01,0.0018081828663166397,0.001563397398031642,0.001563397398031642,-0.12168444637252951,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
2,2012-10-01,0.002072395529536796,0.002061430389078523,0.002061430389078523,-0.1420019797139378,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI', 'WTISPLC']"
3,2012-11-01,0.0017152725677412474,0.0014177634192169475,0.0014177634192169475,0.4829417454116801,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'WTISPLC', 'G_AVG_5.10.Bank_rate_lag3']"
4,2012-12-01,0.0011872542337183311,0.0007189487074016234,0.0007189487074016234,0.751216704303162,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'EX_METAL_BP_new']"
5,2013-01-01,0.0005366694735184181,0.0004868454658164718,0.0004868454658164718,0.968996751423692,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'EX_METAL_BP_new', 'Exp_BP_new']"
6,2013-02-01,0.0004564891506188507,0.0003958374114611093,0.0003958374114611093,0.9748817387295085,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'EOIL_BP_new', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
7,2013-03-01,0.0005935421708325924,0.000472927840956352,0.000472927840956352,0.9626613087370096,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'IPPI_METAL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
8,2013-04-01,0.0005384379137095498,0.0003408043865874805,0.0003408043865874805,0.9490974349718052,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag1']"
9,2013-05-01,0.0010881679767869542,0.0008381139725384211,0.0008381139725384211,0.6206725274203501,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'loan_lag3', 'EX_METAL_BP_new', 'IPPI_METAL_CAN_lag2', 'Army']"
10,2013-06-01,0.0006744647932564756,0.0005930561398354466,0.0005930561398354466,0.952745922511671,"['target', 'EX_ENER_BP_new', 'Army', 'TSX_LO_lag1', 'TSX_HI_lag1', 'loan_lag3', 'Army_lag1', 'EX_METAL_BP_new']"
11,2013-07-01,0.001206103859977974,0.0010420458836952926,0.0010420458836952926,0.9056081840655689,"['target', 'EX_ENER_BP_new', 'Army', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'loan_lag3', 'Army_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
12,2013-08-01,0.0008039376638946082,0.0006700896243671753,0.0006700896243671753,0.9657574884284705,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EX_METAL_BP_new', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'CAN_SEC_NETFLOW', 'TBILL_6M.Bank_rate_lag1']"
13,2013-09-01,0.0013003014285156375,0.0011472267656778418,0.0011472267656778418,0.8562113541441588,"['target', 'G_AVG_3.5.Bank_rate_lag2', 'EX_ENER_BP_new', 'EX_METAL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_3.5.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
14,2013-10-01,0.001414130176179756,0.0012731453742835046,0.0012731453742835046,0.835966818983033,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EX_METAL_BP_new', 'G_AVG_5.10.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_3.5.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
15,2013-11-01,0.0013715118038502198,0.0011261426730037772,0.0011261426730037772,0.7700824700451228,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TSX_LO_lag1', 'Army', 'G_AVG_5.10.Bank_rate_lag3']"
16,2013-12-01,0.0017331200047812677,0.0014694139211602862,0.0014694139211602862,0.8378804525207194,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'UNEMP_DURA_1.4_CAN']"
17,2014-01-01,0.0013949696948658732,0.0012140674238289714,0.0012140674238289714,0.847387995270922,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'UNEMP_DURA_1.4_CAN', 'Army', 'G_AVG_5.10.Bank_rate_lag3']"
18,2014-02-01,0.0022414584465648584,0.0021372774942766434,0.0021372774942766434,0.7544253366762784,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'UNEMP_DURA_1.4_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'Army', 'TBILL_6M.Bank_rate_lag1']"
19,2014-03-01,0.0018049850829311787,0.00156028040646359,0.00156028040646359,0.6405828008106509,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'Army', 'TBILL_6M.Bank_rate_lag1', 'UNEMP_DURA_1.4_CAN', 'TSX_HI_lag1']"
20,2014-04-01,0.0015887865443018866,0.0012993131323701542,0.0012993131323701542,0.7459516747210929,"['target', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
21,2014-05-01,0.00018526170951804912,0.0001483570480340911,0.0001483570480340911,0.9920513810023064,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'TSX_HI_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_3.5.Bank_rate_lag3', 'Army']"
22,2014-06-01,0.0011684869958479662,0.0010374109510205313,0.0010374109510205313,0.7281533640460802,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'Army', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'EX_METAL_BP_new', 'IPPI_MACH_CAN_lag1']"
23,2014-07-01,0.0015158900003833945,0.001328634184320415,0.001328634184320415,0.29967679850469986,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'Army', 'TSX_LO_lag1', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
24,2014-08-01,0.001113620648978355,0.0010021346188562525,0.0010021346188562525,0.6409227846600494,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'Army', 'TSX_LO_lag1', 'IPPI_MACH_CAN_lag1', 'EX_METAL_BP_new', 'TBILL_6M.Bank_rate_lag1']"
25,2014-09-01,0.000797839094135623,0.0006278802261760165,0.0006278802261760165,0.9420017545194755,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'Army_lag1', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'IPPI_MACH_CAN_lag1']"
