sstart,ssample_end_date,selected_features
0,2012-08-01,"target, IPPI_METAL_CAN_lag1, IPPI_METAL_CAN_lag2, N_DUR_INV_RAT_new_lag1, N_DUR_INV_RAT_new_lag2, CPI_SHEL_CAN_lag2, Exp_BP_new_lag3, MANU_TOT_INV_new_lag2"
1,2012-09-01,"target, IPPI_METAL_CAN_lag1, IPPI_METAL_CAN_lag2, N_DUR_INV_RAT_new_lag1, N_DUR_INV_RAT_new_lag2, CPI_SHEL_CAN_lag2, G_AVG_5.10.Bank_rate_lag2, G_AVG_3.5.Bank_rate_lag2"
2,2012-10-01,"target, IPPI_METAL_CAN_lag1, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, MANU_TOT_INV_new_lag2, N_DUR_INV_RAT_new_lag1, G_AVG_5.10.Bank_rate_lag2, N_DUR_INV_RAT_new_lag2"
3,2012-11-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, MANU_TOT_INV_new_lag2, IMP_CONS_BP_new_lag3, CPI_SHEL_CAN_lag2, G_AVG_5.10.Bank_rate_lag2, N_DUR_INV_RAT_new_lag1"
4,2012-12-01,"target, IPPI_METAL_CAN_lag2, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, IPPI_METAL_CAN_lag3, IMP_CONS_BP_new_lag3, CPI_SHEL_CAN_lag2, N_DUR_INV_RAT_new_lag1"
5,2013-01-01,"target, IPPI_METAL_CAN_lag2, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag3, N_DUR_INV_RAT_new_lag1, CPI_SHEL_CAN_lag2"
6,2013-02-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, MANU_TOT_INV_new_lag2, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag3, CPI_SHEL_CAN_lag2, N_DUR_INV_RAT_new_lag1"
7,2013-03-01,"target, IPPI_METAL_CAN_lag2, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, IMP_CONS_BP_new_lag3, N_DUR_INV_RAT_new_lag1, N_DUR_INV_RAT_new_lag2, Exp_BP_new_lag3"
8,2013-04-01,"target, IPPI_METAL_CAN_lag2, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, IMP_CONS_BP_new_lag3, Exp_BP_new_lag3, N_DUR_INV_RAT_new_lag1, IPPI_METAL_CAN_lag3"
9,2013-05-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, IPPI_METAL_CAN_lag3, Exp_BP_new_lag3, DUR_TOT_INV_new"
