sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.0016181259999999995,0.0016181259999999995,0.0016181259999999995,0.6179106472880507,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'budget', 'Farm...25_lag1', 'Farm...15_lag1']"
1,2012-09-01,0.0028194789999999997,0.0028194789999999997,0.0028194789999999997,-2.918816493907379,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'Farm...25_lag1', 'Farm...15_lag1', 'Army_lag3']"
2,2012-10-01,0.0025017369999999995,0.0025017369999999995,0.0025017369999999995,-1.281977379817206,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
3,2012-11-01,0.007702171,0.007702171,0.007702171,-3.7443782635379,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
4,2012-12-01,0.002862879000000014,0.002862879000000014,0.002862879000000014,-3.3240931061308974,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Small.business_lag2', 'unemployment_lag1', 'Farm...25_lag1']"
5,2013-01-01,0.007814992,0.007814992,0.007814992,-3.913792964808831,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Agriculture_lag3', 'Small.business_lag2', 'Army_lag3', 'Farm...15_lag1']"
6,2013-02-01,0.007392588,0.007392588,0.007392588,-4.722318501168805,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Agriculture_lag3', 'Small.business_lag2', 'whole.sale_lag3']"
7,2013-03-01,0.006935576000000014,0.006935576000000014,0.006935576000000014,-5.688902151799447,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'Finance...30_lag3', 'Finance...11_lag3']"
8,2013-04-01,0.004029252,0.004029252,0.004029252,-334.5205862842934,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'whole.sale_lag3', 'Finance...30_lag3']"
9,2013-05-01,0.005556285000000013,0.005556285000000013,0.005556285000000013,-20.15246682506218,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'unemployment_lag1']"
10,2013-06-01,0.0009100650000000007,0.0009100650000000007,0.0009100650000000007,0.9702094592007705,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'real.estate_lag2']"
11,2013-07-01,0.008449847999999979,0.008449847999999979,0.008449847999999979,-3.0952959912928604,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'Agriculture_lag3']"
12,2013-08-01,0.00774606299999998,0.00774606299999998,0.00774606299999998,-3.949828020425435,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
13,2013-09-01,0.00629486599999998,0.00629486599999998,0.00629486599999998,-8.793198133780786,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
14,2013-10-01,0.00860529299999998,0.00860529299999998,0.00860529299999998,-2.856710325974125,"['target', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag2', 'Army_lag3', 'whole.sale_lag3', 'real.estate', 'unemployment_lag1']"
15,2013-11-01,0.004524449,0.004524449,0.004524449,-231.22079257153757,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'budget_lag1']"
16,2013-12-01,0.0018203920000000005,0.0018203920000000005,0.0018203920000000005,0.9092931832904749,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'unemployment_lag1', 'real.estate']"
17,2014-01-01,0.00583377899999998,0.00583377899999998,0.00583377899999998,-10.740628504821512,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
18,2014-02-01,0.008927975,0.008927975,0.008927975,-2.3985960563362956,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
19,2014-03-01,0.004200491,0.004200491,0.004200491,-787.2992760304626,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
20,2014-04-01,0.006471427,0.006471427,0.006471427,-6.303545668790486,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
21,2014-05-01,0.006665116,0.006665116,0.006665116,-5.437530832834191,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
22,2014-06-01,0.005835384,0.005835384,0.005835384,-10.376004027912492,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'real.estate_lag1', 'budget_lag1', 'whole.sale_lag3', 'real.estate_lag2']"
23,2014-07-01,0.0036182129999999995,0.0036182129999999995,0.0036182129999999995,-44.7890543253145,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'whole.sale_lag3', 'budget_lag1', 'real.estate_lag2']"
24,2014-08-01,0.0014642909999999798,0.0014642909999999798,0.0014642909999999798,0.7181357304684876,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
25,2014-09-01,0.009225880999999981,0.009225880999999981,0.009225880999999981,-2.4017543651992113,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
26,2014-10-01,0.00715093599999998,0.00715093599999998,0.00715093599999998,-5.091241020152728,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'real.estate_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'budget_lag1']"
27,2014-11-01,0.00231778899999998,0.00231778899999998,0.00231778899999998,-0.4617112092835296,"['target', 'Army_lag3', 'Army_lag2', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'unemployment_lag1']"
28,2014-12-01,0.004930319999999979,0.004930319999999979,0.004930319999999979,-56.906145382537616,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Small.business', 'budget_lag1']"
29,2015-01-01,0.0005739590000000201,0.0005739590000000201,0.0005739590000000201,0.9862232793176623,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Export_lag1', 'Small.business']"
30,2015-02-01,0.0023793689999999797,0.0023793689999999797,0.0023793689999999797,-0.5836137577759068,"['target', 'Army_lag3', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
31,2015-03-01,0.0021300009999999994,0.0021300009999999994,0.0021300009999999994,0.07235143440429392,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate_lag1', 'unemployment_lag1', 'Audi_lag1', 'Export_lag1']"
32,2015-04-01,0.0021892879999999997,0.0021892879999999997,0.0021892879999999997,-0.07296545082801353,"['target', 'Army_lag3', 'Small.business_lag1', 'unemployment_lag1', 'Army_lag2', 'Audi_lag1', 'real.estate_lag1', 'Mining_lag3']"
33,2015-05-01,0.0010441269999999798,0.0010441269999999798,0.0010441269999999798,0.8919543745298982,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'Ford...28', 'Ford...4', 'Ford...38', 'real.estate_lag1']"
34,2015-06-01,0.00680587499999998,0.00680587499999998,0.00680587499999998,-6.049874775325234,"['target', 'Army_lag3', 'Small.business_lag1', 'Ford...38', 'Ford...4', 'Ford...28', 'Army_lag2', 'unemployment_lag1']"
35,2015-07-01,0.00695337099999998,0.00695337099999998,0.00695337099999998,-5.690623403542301,"['target', 'Small.business_lag1', 'Army_lag3', 'Army_lag2', 'Ford...38', 'Ford...28', 'Ford...4', 'real.estate_lag1']"
36,2015-08-01,0.0052231529999999795,0.0052231529999999795,0.0052231529999999795,-27.691387806180938,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
37,2015-09-01,0.00144785600000002,0.00144785600000002,0.00144785600000002,0.9364624875259036,"['target', 'Small.business_lag1', 'Army_lag3', 'Ford...38', 'Ford...28', 'Ford...4', 'Army_lag2', 'real.estate_lag1']"
