sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00457773837678605,0.004016506666666666,0.004016506666666666,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'IMP_CONS_BP_new', 'G_AVG_5.10.Bank_rate_lag3']"
1,2012-09-01,0.003942144545320168,0.0034932244444444444,0.0034932244444444444,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IMP_CONS_BP_new']"
2,2012-10-01,0.004137683449715143,0.003719444388888877,0.003719444388888877,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'IMP_CONS_BP_new', 'TBILL_6M.Bank_rate_lag3', 'DUR_N_ORD_new_lag1']"
3,2012-11-01,0.004902814711996402,0.0045438826111111,0.0045438826111111,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_CAN_lag3', 'MANU_N_ORD_new_lag1']"
4,2012-12-01,0.004651592253765053,0.004265867944444433,0.004265867944444433,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'MANU_N_ORD_new_lag1', 'N_DUR_INV_RAT_new']"
5,2013-01-01,0.004866965611057725,0.004390087222222216,0.004390087222222216,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'IPPI_CAN_lag3', 'G_AVG_1.3.Bank_rate_lag1']"
6,2013-02-01,0.005256879004153684,0.004713887444444439,0.004713887444444439,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'TBILL_6M.Bank_rate_lag3']"
7,2013-03-01,0.005640758549759927,0.005106370666666661,0.005106370666666661,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'MANU_N_ORD_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'IMP_CONS_BP_new', 'CLAIMS_CAN_lag3']"
8,2013-04-01,0.0055638923127490966,0.005012950777777771,0.005012950777777771,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_3.5.Bank_rate_lag3', 'IMP_CONS_BP_new', 'MANU_N_ORD_new_lag1', 'IPPI_CAN', 'TBILL_6M.Bank_rate_lag3']"
9,2013-05-01,0.005851173182263721,0.005450523999999995,0.005450523999999995,-2.593566114551062,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'IMP_CONS_BP_new', 'MANU_N_ORD_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_N_ORD_new_lag1', 'EMP_CONS_CAN_lag1']"
10,2013-06-01,0.005773449833204912,0.005215415666666662,0.005215415666666662,-2.593566114551062,"['target', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'G_AVG_1.3.Bank_rate_lag3', 'CLAIMS_CAN_lag3', 'Exp_BP_new', 'IPPI_CAN', 'IPPI_CAN_lag3']"
11,2013-07-01,0.006369190000539929,0.005863718555555552,0.005863718555555552,-2.593566114551062,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'Exp_BP_new', 'EX_ENER_BP_new_lag1', 'CLAIMS_CAN_lag3', 'IPPI_CAN_lag3']"
12,2013-08-01,0.006318236672592559,0.005819761999999996,0.005819761999999996,-2.593566114551062,"['target', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'G_AVG_1.3.Bank_rate_lag3', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'EX_ENER_BP_new_lag1']"
13,2013-09-01,0.006497740618814699,0.005951079333333328,0.005951079333333328,-2.593566114551062,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
14,2013-10-01,0.006497740618814699,0.005951079333333328,0.005951079333333328,-2.593566114551062,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'CRED_HOUS_MORT_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3', 'EX_ENER_BP_new_lag1']"
15,2013-11-01,0.006371561262158011,0.005932427999999995,0.005932427999999995,-2.593566114551062,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'IPPI_CAN_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'EX_ENER_BP_new_lag1']"
16,2013-12-01,0.005953496751312873,0.005351475888888884,0.005351475888888884,-1.6535805501619825,"['target', 'G_AVG_1.3.Bank_rate_lag3', 'IMP_CONS_BP_new', 'IPPI_METAL_CAN', 'EX_ENER_BP_new_lag1', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_CAN_lag3']"
17,2014-01-01,0.006108906505333089,0.005539380555555552,0.005539380555555552,-1.7433298461593454,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'EX_ENER_BP_new_lag1', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TOT_HRS_CAN_lag3']"
18,2014-02-01,0.006497740618814699,0.005901414444444441,0.005901414444444441,-1.6769529764276223,"['target', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'EX_ENER_BP_new_lag1', 'TOT_HRS_CAN_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3']"
19,2014-03-01,0.006497740618814699,0.005951079333333328,0.005951079333333328,-2.395284651845204,"['target', 'IMP_CONS_BP_new', 'EX_ENER_BP_new_lag1', 'G_AVG_1.3.Bank_rate_lag3', 'DUR_UNFIL_new_lag1', 'IPPI_METAL_CAN', 'MANU_UNFIL_new_lag1', 'IPPI_CAN_lag3']"
20,2014-04-01,0.006418095688839611,0.005951079333333328,0.005951079333333328,-2.552855785316749,"['target', 'IMP_CONS_BP_new', 'EX_ENER_BP_new_lag1', 'G_AVG_1.3.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'DUR_UNFIL_new_lag1']"
21,2014-05-01,0.006281806620298206,0.0059270875555555505,0.0059270875555555505,-2.593566114551062,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_5.10.Bank_rate_lag3']"
22,2014-06-01,0.006232319152814993,0.005876033999999995,0.005876033999999995,-2.586243309949745,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'IPPI_METAL_CAN', 'TBILL_6M.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3']"
23,2014-07-01,0.00566290675164483,0.005321913999999995,0.005321913999999995,-2.593566114551062,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'IPPI_METAL_CAN', 'G_AVG_5.10.Bank_rate_lag3']"
24,2014-08-01,0.005480167528658849,0.004981896444444439,0.004981896444444439,-2.2103487588971666,"['target', 'EX_ENER_BP_new_lag1', 'IMP_CONS_BP_new', 'G_AVG_1.3.Bank_rate_lag3', 'G_AVG_3.5.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag3', 'DUR_INV_RAT_new']"
