sstart,ssample_end_date,selected_features
0,2012-08-01,"target, Small.business, loan_lag3, Army, real.estate_lag3, Agriculture_lag1, Food.Service_lag3, Army_lag1"
1,2012-09-01,"target, loan_lag3, Army, Small.business, real.estate_lag3, Army_lag1, Food.Service_lag3, Agriculture_lag1"
2,2012-10-01,"target, Army, loan_lag3, Small.business, Army_lag1, Food.Service_lag3, Agriculture_lag1, real.estate_lag3"
3,2012-11-01,"target, Army, loan_lag3, Small.business, Army_lag1, Agriculture_lag1, Food.Service_lag3, real.estate_lag3"
4,2012-12-01,"target, loan_lag3, Army, Army_lag1, Agriculture_lag1, Food.Service_lag3, travel_lag3, Small.business"
5,2013-01-01,"target, Army_lag1, Army, real.estate_lag1, Food.Service_lag3, loan_lag3, Small.business, whole.sale_lag1"
6,2013-02-01,"target, loan_lag3, Army_lag1, Army, whole.sale_lag1, real.estate, Food.Service_lag3, Farm...25_lag3"
7,2013-03-01,"target, loan_lag3, Army, Army_lag1, Food.Service_lag3, Agriculture_lag1, whole.sale_lag1, Farm...25_lag3"
8,2013-04-01,"target, loan_lag3, Army, Army_lag1, Food.Service_lag3, whole.sale_lag1, Agriculture_lag1, Farm...25_lag3"
9,2013-05-01,"target, loan_lag3, Army, Army_lag1, whole.sale_lag1, Finance...30_lag1, Finance...11_lag1, Food.Service_lag3"
10,2013-06-01,"target, Army, loan_lag3, Army_lag1, whole.sale_lag1, Finance...11_lag1, Finance...30_lag1, real.estate"
11,2013-07-01,"target, Army, loan_lag3, Army_lag1, whole.sale_lag1, real.estate, Finance...11_lag1, Finance...30_lag1"
12,2013-08-01,"target, Army, real.estate, loan_lag3, whole.sale_lag1, Army_lag1, real.estate_lag1, Army_lag2"
13,2013-09-01,"target, Army, Army_lag1, loan_lag3, real.estate, whole.sale_lag1, Volvo_lag2, Finance...11_lag1"
14,2013-10-01,"target, Army, Army_lag1, loan_lag3, real.estate, whole.sale_lag1, Volvo_lag2, rental"
15,2013-11-01,"target, Army, Army_lag1, loan_lag3, real.estate, whole.sale_lag1, Volvo_lag2, Finance...30_lag1"
16,2013-12-01,"target, Army, Army_lag1, loan_lag3, real.estate, whole.sale_lag1, Volvo_lag2, Finance...30_lag1"
17,2014-01-01,"target, Army, Army_lag1, real.estate, loan_lag3, whole.sale_lag1, Farm...15_lag3, Farm...25_lag3"
18,2014-02-01,"target, Army, Army_lag1, loan_lag3, real.estate, whole.sale_lag1, Volvo_lag2, Farm...15_lag3"
19,2014-03-01,"target, Army, Army_lag1, real.estate, whole.sale_lag1, loan_lag3, whole.sale, Food.Service_lag3"
20,2014-04-01,"target, Army, real.estate, Army_lag1, loan_lag3, whole.sale_lag1, Food.Service_lag3, Farm...15_lag3"
21,2014-05-01,"target, Army, Army_lag1, loan_lag3, whole.sale_lag1, real.estate, whole.sale, Volvo_lag2"
22,2014-06-01,"target, Army, Army_lag1, loan_lag3, whole.sale_lag1, real.estate, Volvo_lag2, Farm...15_lag3"
23,2014-07-01,"target, Army, Army_lag1, loan_lag3, whole.sale_lag1, real.estate, Volvo_lag2, Food.Service_lag3"
24,2014-08-01,"target, Army, Army_lag1, loan_lag3, whole.sale_lag1, real.estate, Volvo_lag2, Food.Service_lag3"
25,2014-09-01,"target, Army_lag1, Army, whole.sale_lag1, real.estate, Volvo_lag2, Small.busines_lag3, Farm...15_lag3"
26,2014-10-01,"target, Army_lag1, Army, Volvo_lag2, Small.busines_lag3, real.estate, whole.sale_lag1, Electricity_lag2"
27,2014-11-01,"target, Army_lag1, Army, Volvo_lag2, Small.busines_lag3, Army_lag3, Food.Service_lag3, real.estate"
28,2014-12-01,"target, Army_lag1, Army, Volvo_lag2, Small.busines_lag3, Army_lag3, Food.Service_lag3, budget_lag1"
29,2015-01-01,"target, Army_lag1, Army, Small.busines_lag3, Volvo_lag2, Army_lag3, health.policy_lag3, loan_lag3"
30,2015-02-01,"target, Army_lag1, Army, Small.busines_lag3, health.policy_lag3, Army_lag3, Mining_lag1, Ford...4_lag3"
31,2015-03-01,"target, Army_lag1, Army, Small.busines_lag3, health.policy_lag3, loan_lag3, Army_lag3, Food.Service_lag3"
32,2015-04-01,"target, Army_lag1, Army, Small.busines_lag3, health.policy_lag3, loan_lag3, Army_lag3, Mining_lag1"
33,2015-05-01,"target, Army_lag1, Army, Small.busines_lag3, health.policy_lag3, Army_lag3, Mining_lag1, loan_lag3"
34,2015-06-01,"target, Army_lag1, Army, health.policy_lag3, loan_lag3, Army_lag3, Small.busines_lag3, Mining_lag1"
35,2015-07-01,"target, Army_lag1, Army, Ford...38_lag3, Ford...28_lag3, Ford...4_lag3, health.policy_lag3, loan_lag3"
36,2015-08-01,"target, Army_lag1, Army, health.policy_lag3, loan_lag3, Small.busines_lag3, Mining_lag1, Ford...4_lag3"
37,2015-09-01,"target, Army_lag1, Army, health.policy_lag3, loan_lag3, rental_lag3, Army_lag3, Ford...28_lag3"
