sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00022860300555347374,0.0001604557232844848,0.0001604557232844848,0.9776887619439828,"['target', 'real.estate', 'GDP', 'travel', 'loan', 'Food.Service', 'loan_lag2', 'Mining']"
1,2012-09-01,0.00024697575356767226,0.0001722576076388892,0.0001722576076388892,0.9736144390527366,"['target', 'travel', 'GDP', 'Food.Service', 'real.estate', 'loan', 'Electricity_lag3', 'loan_lag2']"
2,2012-10-01,0.00028375951289041164,0.00019921218944444441,0.00019921218944444441,0.9590859413339657,"['target', 'Food.Service', 'GDP', 'loan', 'Mining', 'real.estate', 'unemployment_lag1', 'Audi_lag1']"
3,2012-11-01,0.00029410638555501655,0.00023608351500000003,0.00023608351500000003,0.9788854969863264,"['target', 'Food.Service', 'GDP', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'Electricity_lag3', 'loan']"
4,2012-12-01,0.0002819334112334621,0.00019891965097222254,0.00019891965097222254,0.9815934643055801,"['target', 'Food.Service', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'GDP', 'Electricity_lag3', 'loan']"
5,2013-01-01,0.000401598750515213,0.0003367588755555558,0.0003367588755555558,0.9749427121151542,"['target', 'Food.Service', 'Ford...4_lag1', 'Ford...38_lag1', 'Ford...28_lag1', 'Electricity_lag3', 'loan', 'GDP']"
6,2013-02-01,0.00030640767072873413,0.00025294111111111273,0.00025294111111111273,0.9870451660343311,"['target', 'Food.Service', 'loan', 'Ford...4_lag1', 'Ford...28_lag1', 'Ford...38_lag1', 'GDP', 'loan_lag2']"
7,2013-03-01,0.00032982098313939583,0.0002855210000000011,0.0002855210000000011,0.987378205546824,"['target', 'Ford...4_lag1', 'Ford...28_lag1', 'Ford...38_lag1', 'loan', 'GDP', 'loan_lag2', 'Food.Service']"
8,2013-04-01,0.00032896473823983385,0.00028194027777777767,0.00028194027777777767,0.9867156518707811,"['target', 'loan', 'Ford...28_lag1', 'Ford...4_lag1', 'Ford...38_lag1', 'GDP', 'loan_lag2', 'Food.Service']"
9,2013-05-01,0.00027554190412809175,0.00020972827777777732,0.00020972827777777732,0.9878559909720938,"['target', 'loan', 'Food.Service_lag1', 'rental_lag3', 'GDP', 'loan_lag2', 'Electricity_lag3', 'Ford...28_lag1']"
10,2013-06-01,0.00026494726028166636,0.0002101721388888888,0.0002101721388888888,0.9930776382004273,"['target', 'loan', 'Electricity_lag3', 'Food.Service_lag1', 'GDP', 'rental_lag3', 'loan_lag2', 'Food.Service']"
11,2013-07-01,0.00020762346431216585,0.0001604557232844848,0.0001604557232844848,0.9931039276326161,"['target', 'loan', 'Electricity_lag3', 'Food.Service_lag1', 'GDP', 'rental_lag3', 'loan_lag2', 'Food.Service']"
12,2013-08-01,0.00024993155196145604,0.00020899679166666606,0.00020899679166666606,0.9931039276326161,"['target', 'loan', 'Electricity_lag3', 'Food.Service_lag1', 'GDP', 'loan_lag2', 'rental_lag3', 'Audi_lag2']"
