sstart,ssample_end_date,selected_features
0,2012-08-01,"target, TSX_HI, TBILL_6M, IPPI_MACH_CAN_lag1, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb, CRED_MORT_HOUSE_cb_lag1"
1,2012-09-01,"target, TSX_HI, TBILL_6M, GOV_AVG_1_3Y, IPPI_MACH_CAN_lag1, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb, UNEMP_DURA_1.4_CAN"
2,2012-10-01,"target, TSX_HI, TBILL_6M, IPPI_MACH_CAN_lag1, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb, UNEMP_DURA_1.4_CAN"
3,2012-11-01,"target, TSX_HI, IPPI_MACH_CAN_lag1, TBILL_6M, EX_ENER_BP_new_lag2, GOV_AVG_1_3Y, CRED_MORT_HOUSE_cb, UNEMP_DURA_1.4_CAN"
4,2012-12-01,"target, TSX_HI, TBILL_6M, IPPI_MACH_CAN_lag1, EX_ENER_BP_new_lag2, GOV_AVG_1_3Y, CRED_MORT_HOUSE_cb, UNEMP_DURA_1.4_CAN"
5,2013-01-01,"target, TSX_HI, TBILL_6M, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, IPPI_MACH_CAN_lag1, UNEMP_DURA_1.4_CAN"
6,2013-02-01,"target, TSX_HI, TBILL_6M, GOV_AVG_1_3Y, CRED_MORT_HOUSE_cb, EX_ENER_BP_new_lag2, TBILL_6M.Bank_rate, CRED_MORT_HOUSE_cb_lag1"
7,2013-03-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate"
8,2013-04-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate"
9,2013-05-01,"target, TSX_HI, TBILL_6M, GOV_AVG_1_3Y, CRED_MORT_HOUSE_cb, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, CRED_MORT_HOUSE_cb_lag1"
10,2013-06-01,"target, TSX_HI, TBILL_6M, GOV_AVG_1_3Y, CRED_MORT_HOUSE_cb, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, IMP_METAL_BP_new_lag1"
11,2013-07-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate"
12,2013-08-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate"
13,2013-09-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate"
14,2013-10-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate"
15,2013-11-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, EX_ENER_BP_new_lag2, IPPI_MACH_CAN_lag1, TBILL_6M.Bank_rate"
16,2013-12-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, GOV_AVG_1_3Y, UNEMP_CAN, EX_ENER_BP_new_lag2, TBILL_6M.Bank_rate"
17,2014-01-01,"target, TSX_HI, CRED_MORT_HOUSE_cb, TBILL_6M, EX_ENER_BP_new_lag2, UNEMP_CAN, GOV_AVG_1_3Y, IPPI_MACH_CAN_lag1"
18,2014-02-01,"target, CRED_MORT_HOUSE_cb, TSX_HI, TBILL_6M, EX_ENER_BP_new_lag2, UNEMP_CAN, CAN_US_SEC_NETFLOW, CRED_MORT_HOUSE_cb_lag1"
19,2014-03-01,"target, TSX_HI, CRED_MORT_HOUSE_cb, TBILL_6M, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb_lag1, UNEMP_CAN, GOV_AVG_1_3Y"
20,2014-04-01,"target, CRED_MORT_HOUSE_cb, TSX_HI, TBILL_6M, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb_lag1, IPPI_MACH_CAN_lag1, GOV_AVG_1_3Y"
21,2014-05-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb_lag1, CAN_US_SEC_NETFLOW, GOV_AVG_1_3Y"
22,2014-06-01,"target, TBILL_6M, CRED_MORT_HOUSE_cb, TSX_HI, EX_ENER_BP_new_lag2, IMP_METAL_BP_new_lag1, CAN_US_SEC_NETFLOW, GOV_AVG_1_3Y"
23,2014-07-01,"target, TBILL_6M, TSX_HI, CRED_MORT_HOUSE_cb, EX_ENER_BP_new_lag2, CAN_US_SEC_NETFLOW, GOV_AVG_1_3Y, IMP_METAL_BP_new_lag1"
24,2014-08-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, EX_ENER_BP_new_lag2, NHOUSE_P_CAN, UNEMP_CAN, CRED_MORT_HOUSE_cb_lag1"
25,2014-09-01,"target, TSX_HI, TBILL_6M, CRED_MORT_HOUSE_cb, EX_ENER_BP_new_lag2, NHOUSE_P_CAN, CRED_MORT_HOUSE_cb_lag1, GOV_AVG_1_3Y"
