sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,4.978754381885651e-05,4.816334953038887e-05,4.816334953038887e-05,0.9990380467735961,"['target', 'Small.business', 'loan_lag3', 'Army', 'real.estate_lag3', 'Agriculture_lag1', 'Food.Service_lag3', 'Army_lag1']"
1,2012-09-01,0.00016632488022648065,0.00016424697933959957,0.00016424697933959957,0.990509252107193,"['target', 'loan_lag3', 'Army', 'Small.business', 'real.estate_lag3', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1']"
2,2012-10-01,8.6979261364237e-05,7.89081529415945e-05,7.89081529415945e-05,0.997988347349527,"['target', 'Army', 'loan_lag3', 'Small.business', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1', 'real.estate_lag3']"
3,2012-11-01,0.0001080148709569309,0.00010377777789291486,0.00010377777789291486,0.9979495919698043,"['target', 'Army', 'loan_lag3', 'Small.business', 'Army_lag1', 'Agriculture_lag1', 'Food.Service_lag3', 'real.estate_lag3']"
4,2012-12-01,0.00016305741685890903,0.00012935006850952154,0.00012935006850952154,0.9953073854934914,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Agriculture_lag1', 'Food.Service_lag3', 'travel_lag3', 'Small.business']"
5,2013-01-01,0.00029289923896269653,0.00025271002709440876,0.00025271002709440876,0.9907651487717857,"['target', 'Army_lag1', 'Army', 'real.estate_lag1', 'Food.Service_lag3', 'loan_lag3', 'Small.business', 'whole.sale_lag1']"
6,2013-02-01,0.0002814824951421197,0.0002539746963750969,0.0002539746963750969,0.9904493828208007,"['target', 'loan_lag3', 'Army_lag1', 'Army', 'whole.sale_lag1', 'real.estate', 'Food.Service_lag3', 'Farm...25_lag3']"
7,2013-03-01,0.0004055187952745214,0.00036579873733727134,0.00036579873733727134,0.982570781832123,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Food.Service_lag3', 'Agriculture_lag1', 'whole.sale_lag1', 'Farm...25_lag3']"
8,2013-04-01,0.0001914957782620215,0.0001590257527168195,0.0001590257527168195,0.9935614687256479,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'Food.Service_lag3', 'whole.sale_lag1', 'Agriculture_lag1', 'Farm...25_lag3']"
9,2013-05-01,0.00018566600883802525,0.000172034867641429,0.000172034867641429,0.9889569962761177,"['target', 'loan_lag3', 'Army', 'Army_lag1', 'whole.sale_lag1', 'Finance...30_lag1', 'Finance...11_lag1', 'Food.Service_lag3']"
