sstart,ssample_end_date,selected_features
0,2012-08-01,"target, real.estate, GDP, travel, loan, Food.Service, loan_lag2, Mining"
1,2012-09-01,"target, travel, GDP, Food.Service, real.estate, loan, Electricity_lag3, loan_lag2"
2,2012-10-01,"target, Food.Service, GDP, loan, Mining, real.estate, unemployment_lag1, Audi_lag1"
3,2012-11-01,"target, Food.Service, GDP, Ford...4_lag1, Ford...38_lag1, Ford...28_lag1, Electricity_lag3, loan"
4,2012-12-01,"target, Food.Service, Ford...4_lag1, Ford...38_lag1, Ford...28_lag1, GDP, Electricity_lag3, loan"
5,2013-01-01,"target, Food.Service, Ford...4_lag1, Ford...38_lag1, Ford...28_lag1, Electricity_lag3, loan, GDP"
6,2013-02-01,"target, Food.Service, loan, Ford...4_lag1, Ford...28_lag1, Ford...38_lag1, GDP, loan_lag2"
7,2013-03-01,"target, Ford...4_lag1, Ford...28_lag1, Ford...38_lag1, loan, GDP, loan_lag2, Food.Service"
8,2013-04-01,"target, loan, Ford...28_lag1, Ford...4_lag1, Ford...38_lag1, GDP, loan_lag2, Food.Service"
9,2013-05-01,"target, loan, Food.Service_lag1, rental_lag3, GDP, loan_lag2, Electricity_lag3, Ford...28_lag1"
10,2013-06-01,"target, loan, Electricity_lag3, Food.Service_lag1, GDP, rental_lag3, loan_lag2, Food.Service"
11,2013-07-01,"target, loan, Electricity_lag3, Food.Service_lag1, GDP, rental_lag3, loan_lag2, Food.Service"
12,2013-08-01,"target, loan, Electricity_lag3, Food.Service_lag1, GDP, loan_lag2, rental_lag3, Audi_lag2"
13,2013-09-01,"target, loan, Food.Service_lag1, Electricity_lag3, GDP, loan_lag2, rental_lag3, travel_lag2"
14,2013-10-01,"target, loan, Food.Service_lag1, GDP, travel_lag2, loan_lag2, rental_lag3, Electricity_lag3"
15,2013-11-01,"target, loan, travel_lag2, Food.Service_lag1, GDP, Electricity_lag3, loan_lag2, Services_lag1"
16,2013-12-01,"target, loan, travel_lag2, GDP, loan_lag2, Electricity_lag3, Food.Service_lag1, Services_lag3"
17,2014-01-01,"target, loan, travel_lag2, GDP, Electricity_lag3, loan_lag2, Farm...25_lag1, Farm...15_lag1"
18,2014-02-01,"target, loan, travel_lag2, GDP, Electricity_lag3, loan_lag2, consumption_lag1, Consumption_lag1"
19,2014-03-01,"target, loan, travel_lag2, GDP, Food.Service_lag1, Farm...25, Farm...15, health.policy_lag2"
20,2014-04-01,"target, loan, travel_lag2, GDP, Farm...25, Farm...15, Electricity_lag3, Food.Service_lag1"
21,2014-05-01,"target, loan, travel_lag2, GDP, Farm...15, Farm...25, Food.Service_lag1, Electricity_lag3"
22,2014-06-01,"target, travel_lag2, Farm...25, Farm...15, GDP, Mining_lag3, loan_lag2, Small.busines_lag2"
23,2014-07-01,"target, travel_lag2, Farm...25, Farm...15, GDP, Small.busines_lag2, health.policy_lag2, loan_lag2"
24,2014-08-01,"target, GDP, travel_lag2, insurance_lag3, health.policy_lag2, Construction...26_lag1, Construction...14_lag1, budget_lag2"
25,2014-09-01,"target, travel_lag2, GDP, insurance_lag3, Construction...26_lag1, Construction...14_lag1, Small.busines_lag2, Property.management"
26,2014-10-01,"target, travel_lag2, GDP, insurance_lag3, Construction...26_lag1, Construction...14_lag1, Small.busines, Small.busines_lag2"
27,2014-11-01,"target, GDP, travel_lag2, loan, insurance_lag3, Construction...26_lag1, Construction...14_lag1, Electricity_lag3"
28,2014-12-01,"target, insurance_lag3, travel_lag2, Electricity_lag3, GDP, Construction...26_lag1, Construction...14_lag1, Small.busines"
29,2015-01-01,"target, insurance_lag3, health.policy, travel_lag2, GDP, Ford...38_lag1, Ford...28_lag1, Ford...4_lag1"
30,2015-02-01,"target, insurance_lag3, health.policy, travel_lag2, Ford...38_lag1, Ford...28_lag1, Ford...4_lag1, GDP"
31,2015-03-01,"target, insurance_lag3, travel_lag2, travel_lag1, health.policy, Ford...38_lag1, Ford...28_lag1, Ford...4_lag1"
32,2015-04-01,"target, insurance_lag3, health.policy, travel_lag1, travel_lag2, GDP, loan, Ford...38_lag1"
33,2015-05-01,"target, insurance_lag3, travel_lag2, health.policy, Small.busines, travel_lag1, GDP, unemployment_lag3"
34,2015-06-01,"target, travel_lag2, Small.busines, unemployment_lag3, travel_lag1, health.policy, insurance_lag3, loan"
35,2015-07-01,"target, travel_lag2, Small.busines, health.policy, unemployment_lag3, travel_lag1, loan, insurance_lag3"
