sstart,ssample_end_date,selected_features
0,2012-08-01,"target, real.estate_lag1, Small.business_lag2, Finance...11_lag2, Finance...30_lag2, Electricity, Mining_lag3, real.estate_lag3"
1,2012-09-01,"target, real.estate_lag1, Small.business_lag2, Finance...11_lag2, Finance...30_lag2, Electricity, Mining_lag3, real.estate_lag3"
2,2012-10-01,"target, Finance...11_lag2, Finance...30_lag2, Small.business_lag2, real.estate_lag1, Electricity, Mining_lag3, Food.Service_lag2"
3,2012-11-01,"target, Finance...30_lag1, Finance...11_lag1, Mining_lag3, insurance_lag2, Small.business_lag2, Electricity_lag1, real.estate_lag3"
4,2012-12-01,"target, Finance...11_lag1, Finance...30_lag1, Electricity_lag1, Food.Service_lag2, Electricity, Ford...4_lag3, Ford...28_lag3"
5,2013-01-01,"target, Mining_lag3, Finance...11_lag1, Finance...30_lag1, Electricity_lag1, Electricity, insurance_lag2, real.estate_lag3"
6,2013-02-01,"target, Finance...30_lag1, Finance...11_lag1, Electricity_lag1, Finance...30_lag3, Finance...11_lag3, Electricity, Food.Service_lag2"
7,2013-03-01,"target, Finance...11_lag1, Finance...30_lag1, Electricity, Electricity_lag1, rental, Electricity_lag3, Finance...30_lag3"
8,2013-04-01,"target, Finance...11_lag1, Finance...30_lag1, Electricity, Electricity_lag1, Electricity_lag3, rental, Finance...11_lag3"
9,2013-05-01,"target, Finance...11_lag1, Finance...30_lag1, Electricity, Electricity_lag1, rental, Electricity_lag3, online"
10,2013-06-01,"target, Electricity, Finance...30_lag1, Finance...11_lag1, travel_lag1, Services, rental, online"
11,2013-07-01,"target, rental, Services, unemployment_lag2, Ford...4_lag3, Ford...28_lag3, Ford...38_lag3, online"
12,2013-08-01,"target, rental, Electricity, Finance...11_lag1, Finance...30_lag1, online, travel_lag1, loan_lag2"
13,2013-09-01,"target, Electricity, rental, Ford...4_lag1, Ford...28_lag1, Ford...38_lag1, Services, online"
14,2013-10-01,"target, Electricity, Ford...4_lag1, Ford...38_lag1, Ford...28_lag1, rental, Services, travel_lag1"
15,2013-11-01,"target, Electricity, rental, Services, loan_lag2, Finance...30_lag1, Finance...11_lag1, travel_lag1"
16,2013-12-01,"target, Electricity, Mining, rental, loan_lag2, Finance...30_lag1, Finance...11_lag1, Ford...38_lag1"
17,2014-01-01,"target, Electricity, loan_lag2, Mining, Finance...30_lag1, Finance...11_lag1, Ford...38_lag1, Ford...28_lag1"
18,2014-02-01,"target, Electricity, Ford...4_lag1, Ford...28_lag1, Ford...38_lag1, Finance...30_lag1, Finance...11_lag1, rental"
