sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,3.685305816721919e-05,3.685305816721919e-05,3.685305816721919e-05,0.9995888606391133,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'budget', 'Farm...25_lag1', 'Farm...15_lag1']"
1,2012-09-01,0.00016059172777421773,0.00016059172777421773,0.00016059172777421773,0.9872865464671725,"['target', 'real.estate', 'Small.business_lag1', 'Army_lag2', 'Small.business_lag2', 'Farm...25_lag1', 'Farm...15_lag1', 'Army_lag3']"
2,2012-10-01,0.0001566820789052248,0.0001566820789052248,0.0001566820789052248,0.9910491004723188,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
3,2012-11-01,0.0003075880348308085,0.0003075880348308085,0.0003075880348308085,0.9924335551746836,"['target', 'Small.business_lag1', 'real.estate', 'Small.business_lag2', 'Army_lag2', 'Army_lag3', 'Farm...15_lag1', 'Farm...25_lag1']"
4,2012-12-01,3.685305816721919e-05,3.685305816721919e-05,3.685305816721919e-05,0.9995888606391133,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Small.business_lag2', 'unemployment_lag1', 'Farm...25_lag1']"
5,2013-01-01,0.00031144336227822284,0.00031144336227822284,0.00031144336227822284,0.9921959878439195,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Agriculture_lag3', 'Small.business_lag2', 'Army_lag3', 'Farm...15_lag1']"
6,2013-02-01,6.477993210816414e-05,6.477993210816414e-05,6.477993210816414e-05,0.9995606000554351,"['target', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'Army_lag3', 'Agriculture_lag3', 'Small.business_lag2', 'whole.sale_lag3']"
7,2013-03-01,0.00039595065078747247,0.00039595065078747247,0.00039595065078747247,0.9781992268927449,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'Finance...30_lag3', 'Finance...11_lag3']"
8,2013-04-01,3.685305816721919e-05,3.685305816721919e-05,3.685305816721919e-05,0.9995888606391133,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'Agriculture_lag3', 'whole.sale_lag3', 'Finance...30_lag3']"
9,2013-05-01,3.685305816721919e-05,3.685305816721919e-05,3.685305816721919e-05,0.9995888606391133,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'unemployment_lag1']"
10,2013-06-01,0.00039595065078747247,0.00039595065078747247,0.00039595065078747247,0.9593146199228146,"['target', 'Army_lag3', 'Small.business_lag1', 'Army_lag2', 'real.estate', 'whole.sale_lag3', 'Agriculture_lag3', 'real.estate_lag2']"
11,2013-07-01,0.00039595065078747247,0.00039595065078747247,0.00039595065078747247,0.9786577350219983,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'Agriculture_lag3']"
12,2013-08-01,0.0002076291451087002,0.0002076291451087002,0.0002076291451087002,0.9964436483949045,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
13,2013-09-01,3.685305816721919e-05,3.685305816721919e-05,3.685305816721919e-05,0.9995888606391133,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
14,2013-10-01,0.00010506689136838884,0.00010506689136838884,0.00010506689136838884,0.999425066701888,"['target', 'Army_lag2', 'Small.business_lag1', 'real.estate_lag2', 'Army_lag3', 'whole.sale_lag3', 'real.estate', 'unemployment_lag1']"
15,2013-11-01,0.00016411152146816248,0.00016411152146816248,0.00016411152146816248,0.9593146199228146,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate', 'budget_lag1']"
16,2013-12-01,0.00039595065078747247,0.00039595065078747247,0.00039595065078747247,0.9593146199228146,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag2', 'unemployment_lag1', 'real.estate']"
17,2014-01-01,0.0001902089331471922,0.0001902089331471922,0.0001902089331471922,0.9875188897303343,"['target', 'Army_lag2', 'Army_lag3', 'whole.sale_lag3', 'Small.business_lag1', 'real.estate_lag2', 'real.estate', 'unemployment_lag1']"
18,2014-02-01,9.72262990400789e-05,9.72262990400789e-05,9.72262990400789e-05,0.9995888606391133,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
19,2014-03-01,9.787143262219439e-05,9.787143262219439e-05,9.787143262219439e-05,0.9593146199228146,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag2', 'real.estate_lag1', 'real.estate']"
20,2014-04-01,3.685305816721919e-05,3.685305816721919e-05,3.685305816721919e-05,0.9995888606391133,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
21,2014-05-01,4.5796477754831214e-05,4.5796477754831214e-05,4.5796477754831214e-05,0.9995888606391133,"['target', 'Army_lag2', 'Army_lag3', 'Small.business_lag1', 'whole.sale_lag3', 'real.estate_lag1', 'real.estate', 'real.estate_lag2']"
22,2014-06-01,0.00012360759307265302,0.00012360759307265302,0.00012360759307265302,0.9948956416511463,"['target', 'Army_lag2', 'Small.business_lag1', 'Army_lag3', 'real.estate_lag1', 'budget_lag1', 'whole.sale_lag3', 'real.estate_lag2']"
23,2014-07-01,0.00011427971421384812,0.00011427971421384812,0.00011427971421384812,0.9593146199228146,"['target', 'Small.business_lag1', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'whole.sale_lag3', 'budget_lag1', 'real.estate_lag2']"
24,2014-08-01,0.00011862478847843414,0.00011862478847843414,0.00011862478847843414,0.9981501515839472,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
25,2014-09-01,8.683425885868106e-05,8.683425885868106e-05,8.683425885868106e-05,0.9995888606391133,"['target', 'Army_lag2', 'Army_lag3', 'real.estate_lag1', 'Small.business_lag1', 'Farm...15_lag1', 'Farm...25_lag1', 'whole.sale_lag3']"
