sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00012202597780298768,0.00010182512761898836,0.00010182512761898836,0.9975660098624398,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'EOIL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
1,2012-09-01,0.00012202597780298768,0.00010182512761898836,0.00010182512761898836,0.9975660098624398,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3']"
2,2012-10-01,0.00012202597780298768,0.00010182512761898836,0.00010182512761898836,0.9975660098624398,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_HI', 'WTISPLC']"
3,2012-11-01,0.00012202597780298768,0.00010377777789291486,0.00010377777789291486,0.9975660098624398,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'WTISPLC', 'G_AVG_5.10.Bank_rate_lag3']"
4,2012-12-01,0.0007243666396419346,0.0007243339616930782,0.0007243339616930782,0.938832017440901,"['target', 'IPPI_METAL_CAN_lag2', 'EX_ENER_BP_new', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3', 'EX_METAL_BP_new']"
5,2013-01-01,0.00029289923896269653,0.00025271002709440876,0.00025271002709440876,0.9907651487717857,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1', 'EX_METAL_BP_new', 'Exp_BP_new']"
6,2013-02-01,0.0002814824951421197,0.0002539746963750969,0.0002539746963750969,0.9904493828208007,"['target', 'EX_ENER_BP_new', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_3.5.Bank_rate_lag2', 'EOIL_BP_new', 'TBILL_6M.Bank_rate_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
7,2013-03-01,0.00035239844255107914,0.00030731284380463756,0.00030731284380463756,0.986837939253685,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'TSX_LO_lag1', 'IPPI_METAL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'G_AVG_5.10.Bank_rate_lag2', 'TBILL_6M.Bank_rate_lag1']"
8,2013-04-01,0.0001914957782620215,0.0001590257527168195,0.0001590257527168195,0.9935614687256479,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'IPPI_METAL_CAN_lag2', 'TSX_LO_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_5.10.Bank_rate_lag3', 'TBILL_6M.Bank_rate_lag1']"
9,2013-05-01,0.00018853257437599218,0.00017706719156314918,0.00017706719156314918,0.9886133699495255,"['target', 'EX_ENER_BP_new', 'TSX_HI_lag1', 'TSX_LO_lag1', 'loan_lag3', 'EX_METAL_BP_new', 'IPPI_METAL_CAN_lag2', 'Army']"
10,2013-06-01,0.001102592063364614,0.0007386852357815504,0.0007386852357815504,0.938832017440901,"['target', 'EX_ENER_BP_new', 'Army', 'TSX_LO_lag1', 'TSX_HI_lag1', 'loan_lag3', 'Army_lag1', 'EX_METAL_BP_new']"
11,2013-07-01,0.001102592063364614,0.0007386852357815504,0.0007386852357815504,0.938832017440901,"['target', 'EX_ENER_BP_new', 'Army', 'EX_METAL_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'loan_lag3', 'Army_lag1', 'G_AVG_5.10.Bank_rate_lag3']"
12,2013-08-01,0.001102592063364614,0.0007386852357815504,0.0007386852357815504,0.938832017440901,"['target', 'EX_ENER_BP_new', 'G_AVG_3.5.Bank_rate_lag2', 'EX_METAL_BP_new', 'EMP_MANU_CAN', 'G_AVG_5.10.Bank_rate_lag2', 'CAN_SEC_NETFLOW', 'TBILL_6M.Bank_rate_lag1']"
