sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,1.943617876458176e-05,1.943617876458176e-05,1.943617876458176e-05,0.9999448732952171,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'CRED_MORT_HOUSE_cb_lag1']"
1,2012-09-01,0.00016059172777421773,0.00016059172777421773,0.00016059172777421773,0.9872865464671725,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
2,2012-10-01,0.00016358018148858846,0.00016358018148858846,0.00016358018148858846,0.9902436043670263,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
3,2012-11-01,0.00037695294018816935,0.00037695294018816935,0.00037695294018816935,0.9886361036223306,"['target', 'TSX_HI', 'IPPI_MACH_CAN_lag1', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
4,2012-12-01,1.7619317675661298e-05,1.7619317675661298e-05,1.7619317675661298e-05,0.9998362176030531,"['target', 'TSX_HI', 'TBILL_6M', 'IPPI_MACH_CAN_lag1', 'EX_ENER_BP_new_lag2', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'UNEMP_DURA_1.4_CAN']"
5,2013-01-01,0.00031144336227822284,0.00031144336227822284,0.00031144336227822284,0.9921959878439195,"['target', 'TSX_HI', 'TBILL_6M', 'EX_ENER_BP_new_lag2', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'IPPI_MACH_CAN_lag1', 'UNEMP_DURA_1.4_CAN']"
6,2013-02-01,5.020706212186844e-05,5.020706212186844e-05,5.020706212186844e-05,0.9997360579172854,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'TBILL_6M.Bank_rate', 'CRED_MORT_HOUSE_cb_lag1']"
7,2013-03-01,0.00020798973179471467,0.00020798973179471467,0.00020798973179471467,0.9939844746325702,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
8,2013-04-01,3.938506459403028e-05,3.938506459403028e-05,3.938506459403028e-05,0.9679422206154726,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
9,2013-05-01,1.0489336982130813e-05,1.0489336982130813e-05,1.0489336982130813e-05,0.9999246144565036,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'CRED_MORT_HOUSE_cb_lag1']"
10,2013-06-01,0.0023956097937068935,0.0023956097937068935,0.0023956097937068935,0.7935733700437078,"['target', 'TSX_HI', 'TBILL_6M', 'GOV_AVG_1_3Y', 'CRED_MORT_HOUSE_cb', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'IMP_METAL_BP_new_lag1']"
11,2013-07-01,0.0006099953191246983,0.0006099953191246983,0.0006099953191246983,0.9786577350219983,"['target', 'TSX_HI', 'TBILL_6M', 'CRED_MORT_HOUSE_cb', 'GOV_AVG_1_3Y', 'EX_ENER_BP_new_lag2', 'IPPI_MACH_CAN_lag1', 'TBILL_6M.Bank_rate']"
