sstart,ssample_end_date,rmse,mae,mad,r_sq,selected_features
0,2012-08-01,0.00014186164979786776,0.00011671690594564875,0.00011671690594564875,0.9955400405933859,"['target', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1', 'N_DUR_INV_RAT_new_lag2', 'CPI_SHEL_CAN_lag2', 'Exp_BP_new_lag3', 'MANU_TOT_INV_new_lag2']"
1,2012-09-01,0.00014186164979786776,0.00011671690594564875,0.00011671690594564875,0.9958710063273287,"['target', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1', 'N_DUR_INV_RAT_new_lag2', 'CPI_SHEL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag2', 'G_AVG_3.5.Bank_rate_lag2']"
2,2012-10-01,0.00017151177239296787,0.00016363800358790292,0.00016363800358790292,0.9850528093639545,"['target', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'N_DUR_INV_RAT_new_lag1', 'G_AVG_5.10.Bank_rate_lag2', 'N_DUR_INV_RAT_new_lag2']"
3,2012-11-01,0.0001521217584212365,0.0001234521340268887,0.0001234521340268887,0.9943512204057146,"['target', 'IPPI_METAL_CAN_lag2', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'IMP_CONS_BP_new_lag3', 'CPI_SHEL_CAN_lag2', 'G_AVG_5.10.Bank_rate_lag2', 'N_DUR_INV_RAT_new_lag1']"
4,2012-12-01,0.00023272583258284135,0.00018232733971876555,0.00018232733971876555,0.9874579608949161,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'IMP_CONS_BP_new_lag3', 'CPI_SHEL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1']"
5,2013-01-01,0.00014186164979786776,0.00011671690594564875,0.00011671690594564875,0.9958710063273287,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'N_DUR_INV_RAT_new_lag1', 'CPI_SHEL_CAN_lag2']"
6,2013-02-01,0.00014186164979786776,0.00011671690594564875,0.00011671690594564875,0.9958710063273287,"['target', 'IPPI_METAL_CAN_lag2', 'IPPI_METAL_CAN_lag1', 'MANU_TOT_INV_new_lag2', 'IMP_CONS_BP_new_lag3', 'IPPI_METAL_CAN_lag3', 'CPI_SHEL_CAN_lag2', 'N_DUR_INV_RAT_new_lag1']"
7,2013-03-01,0.0002556783273508755,0.00017734694032769805,0.00017734694032769805,0.9924150561079731,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IMP_CONS_BP_new_lag3', 'N_DUR_INV_RAT_new_lag1', 'N_DUR_INV_RAT_new_lag2', 'Exp_BP_new_lag3']"
8,2013-04-01,0.00028765016686662693,0.00023103215796278664,0.00023103215796278664,0.9898428746531518,"['target', 'IPPI_METAL_CAN_lag2', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IMP_CONS_BP_new_lag3', 'Exp_BP_new_lag3', 'N_DUR_INV_RAT_new_lag1', 'IPPI_METAL_CAN_lag3']"
9,2013-05-01,0.00021210438401485912,0.00017714867595425111,0.00017714867595425111,0.9928040843973257,"['target', 'IPPI_METAL_CAN_lag2', 'IMP_CONS_BP_new_lag3', 'MANU_TOT_INV_new_lag2', 'IPPI_METAL_CAN_lag1', 'IPPI_METAL_CAN_lag3', 'Exp_BP_new_lag3', 'DUR_TOT_INV_new']"
