Horizon,Metric,Model,Median,IQR
tau_1,rmse,CatBoost,0.0001204683103789,0.00017228863625161112
tau_1,rmse,LightGBM,0.0006116745309082,0.0013085218349992
tau_1,rmse,Random Forest,0.0001427265,0.00028174774666659525
tau_1,rmse,GBM,7.114354146780822e-05,0.00015346433341109254
tau_1,rmse,XGBoost,0.0001142797142138,0.0002461330731437008
tau_1,mae,CatBoost,0.0001204683103789,0.00017228863625161112
tau_1,mae,LightGBM,0.0006116745309082,0.0013085218349992
tau_1,mae,Random Forest,0.0001427265,0.00028174774666659525
tau_1,mae,GBM,7.114354146780822e-05,0.00015346433341109254
tau_1,mae,XGBoost,0.0001142797142138,0.0002461330731437008
tau_1,mad,CatBoost,0.0001204683103789,0.00017228863625161112
tau_1,mad,LightGBM,0.0006116745309082,0.0013085218349992
tau_1,mad,Random Forest,0.0001427265,0.00028174774666659525
tau_1,mad,GBM,7.114354146780822e-05,0.00015346433341109254
tau_1,mad,XGBoost,0.0001142797142138,0.0002461330731437008
tau_1,r_sq,CatBoost,0.9972119702018538,0.0266090539055166
tau_1,r_sq,LightGBM,0.8610356155576206,0.4624950822944942
tau_1,r_sq,Random Forest,0.992710956630682,0.03919352581398239
tau_1,r_sq,GBM,0.9986915794409712,0.008753967583054023
tau_1,r_sq,XGBoost,0.9945298549646848,0.021041563923544726
tau_3,rmse,CatBoost,0.0002127643766197,0.0003153376651426
tau_3,rmse,LightGBM,0.0010383808608987,0.001214699914122
tau_3,rmse,Random Forest,0.0002316563751322,0.0004480741618212
tau_3,rmse,GBM,0.0001365799505554,0.000300367560291741
tau_3,rmse,XGBoost,0.0002050848877509,0.0003720324272412
tau_3,mae,CatBoost,0.0001803933049397,0.00021082864659143565
tau_3,mae,LightGBM,0.0008451376451863,0.0008609898681608
tau_3,mae,Random Forest,0.0001991974166666,0.0003139322055556
tau_3,mae,GBM,0.0001200811481537,0.0002014704589626264
tau_3,mae,XGBoost,0.0001785676749403,0.000318606124852
tau_3,mad,CatBoost,0.0001803933049397,0.00021082864659143565
tau_3,mad,LightGBM,0.0008451376451863,0.0008609898681608
tau_3,mad,Random Forest,0.0001991974166666,0.0003139322055556
tau_3,mad,GBM,0.0001200811481537,0.0002014704589626264
tau_3,mad,XGBoost,0.0001785676749403,0.000318606124852
tau_3,r_sq,CatBoost,0.9939238532420084,0.013036311834630165
tau_3,r_sq,LightGBM,0.8574186756592933,0.2787814532820102
tau_3,r_sq,Random Forest,0.9917237211114868,0.02126109083591088
tau_3,r_sq,GBM,0.9960026817643356,0.007867315745516579
tau_3,r_sq,XGBoost,0.9914421277988756,0.02022525673014197
tau_6,rmse,CatBoost,0.0002243554548118,0.000245925382222
tau_6,rmse,LightGBM,0.0013433157677203,0.0011044675292658998
tau_6,rmse,Random Forest,0.0003155360540541,0.00042286662486420003
tau_6,rmse,GBM,0.0001934333720151,0.0003638679176047
tau_6,rmse,XGBoost,0.0002442391753683,0.0007934329146011
tau_6,mae,CatBoost,0.0001868070543686,0.00015133335298510002
tau_6,mae,LightGBM,0.0010955645046695,0.0008238170992262
tau_6,mae,Random Forest,0.0002661055261111,0.00030295914249999997
tau_6,mae,GBM,0.0001413573656887,0.00018514605562788621
tau_6,mae,XGBoost,0.0002061815491602,0.0003660538133039
tau_6,mad,CatBoost,0.0001868070543686,0.00015133335298510002
tau_6,mad,LightGBM,0.0010955645046695,0.0008238170992262
tau_6,mad,Random Forest,0.0002661055261111,0.00030295914249999997
tau_6,mad,GBM,0.0001413573656887,0.00018514605562788621
tau_6,mad,XGBoost,0.0002061815491602,0.0003660538133039
tau_6,r_sq,CatBoost,0.9936193713889712,0.014319746042069648
tau_6,r_sq,LightGBM,0.7920188227502013,0.2949539339881845
tau_6,r_sq,Random Forest,0.9826328892669,0.03268557809264272
tau_6,r_sq,GBM,0.9948451579897816,0.0205953084846634
tau_6,r_sq,XGBoost,0.9904685266757356,0.053911629021969
tau_9,rmse,CatBoost,0.0002618857173523,0.0003856190136334
tau_9,rmse,LightGBM,0.001324731254319,0.0011189886572375001
tau_9,rmse,Random Forest,0.0004439445093838,0.0005323536884376001
tau_9,rmse,GBM,0.0002471104591575,0.0005714958544866
tau_9,rmse,XGBoost,0.0003189286286545,0.0007319114936446
tau_9,mae,CatBoost,0.0001990751844313,0.00021295875982959997
tau_9,mae,LightGBM,0.0010834824744286,0.0007910645972520001
tau_9,mae,Random Forest,0.0002790083368518,0.00028265424343910006
tau_9,mae,GBM,0.0001624854301139,0.00021664208619050673
tau_9,mae,XGBoost,0.0002673837684559,0.00036022359600129997
tau_9,mad,CatBoost,0.0001990751844313,0.00021295875982959997
tau_9,mad,LightGBM,0.0010834824744286,0.0007910645972520001
tau_9,mad,Random Forest,0.0002790083368518,0.00028265424343910006
tau_9,mad,GBM,0.0001624854301139,0.00021664208619050673
tau_9,mad,XGBoost,0.0002673837684559,0.00036022359600129997
tau_9,r_sq,CatBoost,0.9925522170998244,0.02742967869171642
tau_9,r_sq,LightGBM,0.7425022322535018,0.29227211691494304
tau_9,r_sq,Random Forest,0.9765899183736364,0.045910471633801464
tau_9,r_sq,GBM,0.992356955960907,0.0414701574373596
tau_9,r_sq,XGBoost,0.9833254223308636,0.06787041610385447
