Horizon,Metric,Model,Median,IQR
tau_1,rmse,CatBoost,0.0001498101849735,0.0002586318210923352
tau_1,rmse,LightGBM,0.000698923650225,0.0014414481886193
tau_1,rmse,Random Forest,0.0001553499999999,0.00025395050000000095
tau_1,rmse,GBM,6.933800117360587e-05,0.00015216353425741088
tau_1,rmse,XGBoost,0.0001116697685989,0.0002548106228942853
tau_1,mae,CatBoost,0.0001498101849735,0.0002586318210923352
tau_1,mae,LightGBM,0.000698923650225,0.0014414481886193
tau_1,mae,Random Forest,0.0001553499999999,0.00025395050000000095
tau_1,mae,GBM,6.933800117360587e-05,0.00015216353425741088
tau_1,mae,XGBoost,0.0001116697685989,0.0002548106228942853
tau_1,mad,CatBoost,0.0001498101849735,0.0002586318210923352
tau_1,mad,LightGBM,0.000698923650225,0.0014414481886193
tau_1,mad,Random Forest,0.0001553499999999,0.00025395050000000095
tau_1,mad,GBM,6.933800117360587e-05,0.00015216353425741088
tau_1,mad,XGBoost,0.0001116697685989,0.0002548106228942853
tau_1,r_sq,CatBoost,0.993510078312777,0.050465103771452635
tau_1,r_sq,LightGBM,0.8173439320686824,0.4251673858507463
tau_1,r_sq,Random Forest,0.9924215807747588,0.027525016339602804
tau_1,r_sq,GBM,0.9980328973321676,0.017097261027486543
tau_1,r_sq,XGBoost,0.9945610405216896,0.022223973912519956
tau_3,rmse,CatBoost,0.0002533806347298,0.00039392463493929995
tau_3,rmse,LightGBM,0.0012423862376531,0.0015437366612459
tau_3,rmse,Random Forest,0.0002113447816421,0.0003894245394116
tau_3,rmse,GBM,0.0001287311758518,0.0002199007469333861
tau_3,rmse,XGBoost,0.0002229829167186,0.0006000962706304001
tau_3,mae,CatBoost,0.000235720618094,0.0002889680205338
tau_3,mae,LightGBM,0.0010724743662066,0.0013767687888393
tau_3,mae,Random Forest,0.0001775425714285,0.0002712854977778
tau_3,mae,GBM,0.0001096571069668,0.00017175933859472144
tau_3,mae,XGBoost,0.0001865690848581,0.0005439986981068
tau_3,mad,CatBoost,0.000235720618094,0.0002889680205338
tau_3,mad,LightGBM,0.0010724743662066,0.0013767687888393
tau_3,mad,Random Forest,0.0001775425714285,0.0002712854977778
tau_3,mad,GBM,0.0001096571069668,0.00017175933859472144
tau_3,mad,XGBoost,0.0001865690848581,0.0005439986981068
tau_3,r_sq,CatBoost,0.989670269435162,0.03137592037511039
tau_3,r_sq,LightGBM,0.8040663108368203,0.37187212660198776
tau_3,r_sq,Random Forest,0.9916069520879236,0.018456683865753276
tau_3,r_sq,GBM,0.9971702470933436,0.009212059883210943
tau_3,r_sq,XGBoost,0.9907380071703984,0.04361741544918485
tau_6,rmse,CatBoost,0.0003302498622074,0.00041129850372809997
tau_6,rmse,LightGBM,0.0012024934501037,0.0011911639305057999
tau_6,rmse,Random Forest,0.0003139268661846,0.00043606686137129995
tau_6,rmse,GBM,0.0001756658282087,0.0003266677659854
tau_6,rmse,XGBoost,0.0002556783273508,0.0007835757849909999
tau_6,mae,CatBoost,0.0002651630599605,0.0002795260240489
tau_6,mae,LightGBM,0.0010362227937951,0.0008965564201224999
tau_6,mae,Random Forest,0.0002522868444444,0.00025406085611110005
tau_6,mae,GBM,0.0001207170139682,0.0001618128625477858
tau_6,mae,XGBoost,0.0002159449135059,0.00035380897217059993
tau_6,mad,CatBoost,0.0002651630599605,0.0002795260240489
tau_6,mad,LightGBM,0.0010362227937951,0.0008965564201224999
tau_6,mad,Random Forest,0.0002522868444444,0.00025406085611110005
tau_6,mad,GBM,0.0001207170139682,0.0001618128625477858
tau_6,mad,XGBoost,0.0002159449135059,0.00035380897217059993
tau_6,r_sq,CatBoost,0.9855469175572036,0.025521012015676803
tau_6,r_sq,LightGBM,0.7987176141219592,0.2674339867172866
tau_6,r_sq,Random Forest,0.9872618455163816,0.024896338230769754
tau_6,r_sq,GBM,0.9965864272376452,0.0097519196580802
tau_6,r_sq,XGBoost,0.9898091199154152,0.05363495427009657
tau_9,rmse,CatBoost,0.0004254393760467,0.000414596191704
tau_9,rmse,LightGBM,0.0012522939291738,0.0012391487813612002
tau_9,rmse,Random Forest,0.000413020717642,0.0004455364195597
tau_9,rmse,GBM,0.000358034447123,0.0004507379514746
tau_9,rmse,XGBoost,0.000347062811522,0.0007319114936446
tau_9,mae,CatBoost,0.000298788339269,0.00029440209235829997
tau_9,mae,LightGBM,0.0009683433252203,0.0007785673301159999
tau_9,mae,Random Forest,0.0002738884585185,0.0002553538097222
tau_9,mae,GBM,0.0001689565819842,0.00023965142427009775
tau_9,mae,XGBoost,0.000282380432873,0.00035914191112939995
tau_9,mad,CatBoost,0.000298788339269,0.00029440209235829997
tau_9,mad,LightGBM,0.0009683433252203,0.0007785673301159999
tau_9,mad,Random Forest,0.0002738884585185,0.0002553538097222
tau_9,mad,GBM,0.0001689565819842,0.00023965142427009775
tau_9,mad,XGBoost,0.000282380432873,0.00035914191112939995
tau_9,r_sq,CatBoost,0.9790125470949412,0.03760523926544357
tau_9,r_sq,LightGBM,0.7780081548887567,0.2529356280573243
tau_9,r_sq,Random Forest,0.9806361688191892,0.044461146392590356
tau_9,r_sq,GBM,0.9896228344802186,0.030463509303793823
tau_9,r_sq,XGBoost,0.9822993220523784,0.06462916231199556
